as_of_date,rank,team,pitcher,rating,opponent
2026-09-24,1,Los Angeles Dodgers,Tyler Glasnow,1583.9,San Diego Padres
2026-09-24,2,Boston Red Sox,Ranger Suarez,1571.0,Cleveland Guardians
2026-09-24,3,Pittsburgh Pirates,Paul Skenes,1563.1,St. Louis Cardinals
2026-09-24,4,San Diego Padres,Nick Pivetta,1551.9,Los Angeles Dodgers
2026-09-24,5,New York Yankees,Cam Schlittler,1547.8,Tampa Bay Rays
2026-09-24,6,Seattle Mariners,Bryan Woo,1546.9,Los Angeles Angels
2026-09-24,7,Atlanta Braves,Tyler Mahle,1527.3,Cincinnati Reds
2026-09-24,8,Chicago Cubs,Matthew Boyd,1524.3,Miami Marlins
2026-09-24,9,Arizona Diamondbacks,Eduardo Rodriguez,1519.8,Colorado Rockies
2026-09-24,10,New York Mets,Zac Thornton,1510.5,Texas Rangers
2026-09-24,11,St. Louis Cardinals,Kyle Leahy,1510.1,Pittsburgh Pirates
2026-09-24,12,Kansas City Royals,Randy Dobnak,1506.7,Chicago White Sox
2026-09-24,13,Tampa Bay Rays,Ian Seymour,1505.7,New York Yankees
2026-09-24,14,Cleveland Guardians,Daniel Espino,1504.8,Boston Red Sox
2026-09-24,15,Miami Marlins,Tyler Phillips,1503.7,Chicago Cubs
2026-09-24,16,Chicago White Sox,David Sandlin,1497.0,Kansas City Royals
2026-09-24,17,Milwaukee Brewers,Shane Drohan,1496.3,Philadelphia Phillies
2026-09-24,18,Houston Astros,Peter Lambert,1492.2,Athletics
2026-09-24,19,Texas Rangers,Kumar Rocker,1488.0,New York Mets
2026-09-24,20,Philadelphia Phillies,Andrew Painter,1487.4,Milwaukee Brewers
2026-09-24,21,Athletics,Mason Barnett,1487.2,Houston Astros
2026-09-24,22,Cincinnati Reds,Brady Singer,1485.0,Atlanta Braves
2026-09-24,23,Los Angeles Angels,Grayson Rodriguez,1478.2,Seattle Mariners
2026-09-24,24,Colorado Rockies,Tanner Gordon,1429.3,Arizona Diamondbacks
