as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-08-02,822783,Toronto Blue Jays,1491.3,St. Louis Cardinals,1493.6,-2.3,53.0
2026-08-02,822943,Tampa Bay Rays,1523.0,Chicago White Sox,1518.9,4.1,55.6
2026-08-02,823107,Seattle Mariners,1507.3,Minnesota Twins,1488.0,19.3,56.7
2026-08-02,823270,San Diego Padres,1510.3,San Francisco Giants,1472.6,37.7,59.0
2026-08-02,823592,New York Mets,1480.6,Miami Marlins,1518.0,-37.4,48.4
2026-08-02,823919,Los Angeles Dodgers,1562.9,Boston Red Sox,1568.4,-5.5,55.5
2026-08-02,823996,Los Angeles Angels,1456.4,Milwaukee Brewers,1569.7,-113.3,36.3
2026-08-02,824163,Houston Astros,1503.1,Texas Rangers,1500.1,3.0,55.7
2026-08-02,824323,Colorado Rockies,1430.4,Kansas City Royals,1463.3,-32.9,49.6
2026-08-02,824404,Cleveland Guardians,1519.1,Arizona Diamondbacks,1523.7,-4.6,52.3
2026-08-02,824483,Cincinnati Reds,1496.9,Pittsburgh Pirates,1511.1,-14.2,50.5
2026-08-02,824648,Chicago Cubs,1553.7,New York Yankees,1544.0,9.7,53.7
2026-08-02,824807,Baltimore Orioles,1521.8,Philadelphia Phillies,1525.8,-4.0,49.3
2026-08-02,824891,Atlanta Braves,1534.2,Washington Nationals,1495.2,39.0,58.4
2026-08-02,824971,Athletics,1444.7,Detroit Tigers,1521.2,-76.5,42.0
