as_of_date,rank,team,pitcher,rating,opponent
2026-08-23,1,Los Angeles Dodgers,Blake Snell,1585.1,Pittsburgh Pirates
2026-08-23,2,Philadelphia Phillies,Cristopher Sánchez,1577.2,St. Louis Cardinals
2026-08-23,3,New York Yankees,Carlos Rodón,1568.0,Toronto Blue Jays
2026-08-23,4,Chicago Cubs,Shota Imanaga,1566.8,Seattle Mariners
2026-08-23,5,Cincinnati Reds,Andrew Abbott,1558.0,Arizona Diamondbacks
2026-08-23,6,Tampa Bay Rays,Nick Martinez,1557.2,Baltimore Orioles
2026-08-23,7,San Diego Padres,Walker Buehler,1540.3,Minnesota Twins
2026-08-23,8,Baltimore Orioles,Shane Baz,1532.5,Tampa Bay Rays
2026-08-23,9,New York Mets,Nolan McLean,1527.2,Chicago White Sox
2026-08-23,10,St. Louis Cardinals,Kyle Leahy,1524.7,Philadelphia Phillies
2026-08-23,11,Colorado Rockies,Tomoyuki Sugano,1522.7,Cleveland Guardians
2026-08-23,12,Pittsburgh Pirates,Lake Bachar,1513.4,Los Angeles Dodgers
2026-08-23,13,Atlanta Braves,Tyler Mahle,1512.4,Milwaukee Brewers
2026-08-23,14,Boston Red Sox,Jake Bennett,1508.1,San Francisco Giants
2026-08-23,15,San Francisco Giants,Matt Wilkinson,1507.4,Boston Red Sox
2026-08-23,16,Cleveland Guardians,Foster Griffin,1504.4,Colorado Rockies
2026-08-23,17,Arizona Diamondbacks,Mitch Bratt,1504.2,Cincinnati Reds
2026-08-23,18,Minnesota Twins,Bailey Ober,1502.6,San Diego Padres
2026-08-23,19,Miami Marlins,Janson Junk,1501.1,Washington Nationals
2026-08-23,20,Athletics,Brady Basso,1499.4,Houston Astros
2026-08-23,21,Kansas City Royals,Daniel Lynch IV,1498.1,Detroit Tigers
2026-08-23,22,Seattle Mariners,Bryce Miller,1497.2,Chicago Cubs
2026-08-23,23,Milwaukee Brewers,Shane Drohan,1497.2,Atlanta Braves
2026-08-23,24,Detroit Tigers,Jacob Waguespack,1497.2,Kansas City Royals
2026-08-23,25,Chicago White Sox,Sean Newcomb,1494.0,New York Mets
2026-08-23,26,Washington Nationals,Jackson Kent,1493.4,Miami Marlins
2026-08-23,27,Houston Astros,Cristian Javier,1490.9,Athletics
2026-08-23,28,Toronto Blue Jays,José Soriano,1481.5,New York Yankees
2026-08-23,29,Texas Rangers,Cal Quantrill,1479.6,Los Angeles Angels
2026-08-23,30,Los Angeles Angels,Yusei Kikuchi,1468.2,Texas Rangers
