as_of_date,rank,team,pitcher,rating,opponent
2026-08-15,1,San Francisco Giants,Logan Webb,1591.3,Colorado Rockies
2026-08-15,2,Boston Red Sox,Sonny Gray,1571.4,Pittsburgh Pirates
2026-08-15,3,Baltimore Orioles,Kyle Bradish,1561.0,Tampa Bay Rays
2026-08-15,4,Detroit Tigers,Troy Melton,1539.4,Chicago White Sox
2026-08-15,5,Milwaukee Brewers,Jacob Misiorowski,1532.0,Los Angeles Dodgers
2026-08-15,6,Philadelphia Phillies,Jesús Luzardo,1530.8,Minnesota Twins
2026-08-15,7,New York Yankees,Cam Schlittler,1529.3,Toronto Blue Jays
2026-08-15,8,Cleveland Guardians,Joey Cantillo,1525.9,San Diego Padres
2026-08-15,9,Atlanta Braves,Grant Holmes,1522.6,Arizona Diamondbacks
2026-08-15,10,Chicago White Sox,Anthony Kay,1521.5,Detroit Tigers
2026-08-15,11,Chicago Cubs,Matthew Boyd,1521.4,St. Louis Cardinals
2026-08-15,12,Arizona Diamondbacks,Eduardo Rodriguez,1518.8,Atlanta Braves
2026-08-15,13,Athletics,J.T. Ginn,1515.8,Texas Rangers
2026-08-15,14,Toronto Blue Jays,Braydon Fisher,1510.3,New York Yankees
2026-08-15,15,Kansas City Royals,Randy Dobnak,1506.8,Los Angeles Angels
2026-08-15,16,Los Angeles Dodgers,Justin Wrobleski,1502.5,Milwaukee Brewers
2026-08-15,17,St. Louis Cardinals,Michael McGreevy,1501.5,Chicago Cubs
2026-08-15,18,Washington Nationals,Brad Lord,1499.9,New York Mets
2026-08-15,19,Tampa Bay Rays,Ian Seymour,1499.1,Baltimore Orioles
2026-08-15,20,Cincinnati Reds,Brady Singer,1497.8,Miami Marlins
2026-08-15,21,Houston Astros,Hayden Wesneski,1497.5,Seattle Mariners
2026-08-15,22,Pittsburgh Pirates,Jared Jones,1489.4,Boston Red Sox
2026-08-15,23,Seattle Mariners,Emerson Hancock,1487.7,Houston Astros
2026-08-15,24,Los Angeles Angels,Reid Detmers,1487.3,Kansas City Royals
2026-08-15,25,Miami Marlins,Ryan Gusto,1479.9,Cincinnati Reds
2026-08-15,26,Texas Rangers,MacKenzie Gore,1476.7,Athletics
2026-08-15,27,New York Mets,Sean Manaea,1475.9,Washington Nationals
2026-08-15,28,Minnesota Twins,Connor Prielipp,1475.3,Philadelphia Phillies
2026-08-15,29,Colorado Rockies,Michael Lorenzen,1474.0,San Francisco Giants
