as_of_date,rank,team,pitcher,rating,opponent
2026-09-17,1,Boston Red Sox,Sonny Gray,1584.4,Texas Rangers
2026-09-17,2,Detroit Tigers,Framber Valdez,1575.2,Chicago White Sox
2026-09-17,3,Tampa Bay Rays,Drew Rasmussen,1570.9,Athletics
2026-09-17,4,San Diego Padres,Michael King,1543.1,Colorado Rockies
2026-09-17,5,New York Mets,Nolan McLean,1529.1,Philadelphia Phillies
2026-09-17,6,Los Angeles Angels,Walbert Ureña,1526.4,Minnesota Twins
2026-09-17,7,Texas Rangers,Tyler Alexander,1514.3,Boston Red Sox
2026-09-17,8,Houston Astros,Miguel Ullola,1505.6,Kansas City Royals
2026-09-17,9,Los Angeles Dodgers,Justin Wrobleski,1505.4,Cincinnati Reds
2026-09-17,10,Milwaukee Brewers,Kyle Harrison,1504.2,Pittsburgh Pirates
2026-09-17,11,Kansas City Royals,Seth Lugo,1504.0,Houston Astros
2026-09-17,12,Philadelphia Phillies,Aaron Nola,1502.4,New York Mets
2026-09-17,13,Pittsburgh Pirates,Wilber Dotel,1496.5,Milwaukee Brewers
2026-09-17,14,Minnesota Twins,Taj Bradley,1487.7,Los Angeles Angels
2026-09-17,15,Chicago White Sox,Erick Fedde,1481.3,Detroit Tigers
2026-09-17,16,Cincinnati Reds,Brady Singer,1480.0,Los Angeles Dodgers
2026-09-17,17,Athletics,Jeffrey Springs,1461.9,Tampa Bay Rays
2026-09-17,18,Colorado Rockies,Tanner Gordon,1435.7,San Diego Padres
