as_of_date,rank,team,pitcher,rating,opponent
2026-09-25,1,Los Angeles Dodgers,Tarik Skubal,1611.2,San Francisco Giants
2026-09-25,2,Texas Rangers,Jacob deGrom,1580.2,Minnesota Twins
2026-09-25,3,Philadelphia Phillies,Cristopher Sánchez,1577.1,Tampa Bay Rays
2026-09-25,4,Tampa Bay Rays,Freddy Peralta,1570.4,Philadelphia Phillies
2026-09-25,5,Houston Astros,Hunter Brown,1541.7,Athletics
2026-09-25,6,Cleveland Guardians,Gavin Williams,1541.5,Kansas City Royals
2026-09-25,7,Chicago Cubs,Clay Holmes,1532.1,Boston Red Sox
2026-09-25,8,Colorado Rockies,Tomoyuki Sugano,1518.6,Chicago White Sox
2026-09-25,9,Chicago White Sox,Sean Burke,1518.3,Colorado Rockies
2026-09-25,10,Cincinnati Reds,Nick Lodolo,1513.2,Toronto Blue Jays
2026-09-25,11,Pittsburgh Pirates,Bubba Chandler,1510.2,Detroit Tigers
2026-09-25,12,Milwaukee Brewers,Robert Gasser,1509.0,St. Louis Cardinals
2026-09-25,13,Baltimore Orioles,Brandon Young,1507.2,New York Yankees
2026-09-25,14,Detroit Tigers,Jackson Jobe,1507.1,Pittsburgh Pirates
2026-09-25,15,Minnesota Twins,Joe Ryan,1505.7,Texas Rangers
2026-09-25,16,Baltimore Orioles,Trevor Rogers,1503.1,New York Yankees
2026-09-25,17,Boston Red Sox,Alec Gamboa,1502.8,Chicago Cubs
2026-09-25,18,Arizona Diamondbacks,Brandon Pfaadt,1501.4,San Diego Padres
2026-09-25,19,Boston Red Sox,Brayan Bello,1500.4,Chicago Cubs
2026-09-25,20,Kansas City Royals,Noah Cameron,1500.3,Cleveland Guardians
2026-09-25,21,Washington Nationals,Andrew Alvarez,1498.9,New York Mets
2026-09-25,22,San Francisco Giants,Yunior Marte,1498.8,Los Angeles Dodgers
2026-09-25,23,New York Yankees,Brendan Beck,1498.0,Baltimore Orioles
2026-09-25,24,Miami Marlins,Eury Pérez,1497.8,Atlanta Braves
2026-09-25,25,Los Angeles Angels,Reid Detmers,1494.7,Seattle Mariners
2026-09-25,26,Chicago Cubs,David Peterson,1494.7,Boston Red Sox
2026-09-25,27,St. Louis Cardinals,Michael McGreevy,1491.7,Milwaukee Brewers
2026-09-25,28,Seattle Mariners,Bryce Miller,1469.8,Los Angeles Angels
2026-09-25,29,Athletics,Jacob Lopez,1469.5,Houston Astros
