as_of_date,rank,team,elo_rating,anticipated_win_pct
2026-09-11,1,Milwaukee Brewers,1561.2,58.5
2026-09-11,2,Boston Red Sox,1547.9,56.7
2026-09-11,3,Chicago Cubs,1534.0,54.7
2026-09-11,4,Philadelphia Phillies,1531.4,54.3
2026-09-11,5,Atlanta Braves,1531.0,54.3
2026-09-11,6,New York Yankees,1529.5,54.0
2026-09-11,7,Los Angeles Dodgers,1529.4,54.0
2026-09-11,8,Arizona Diamondbacks,1523.5,53.2
2026-09-11,9,Tampa Bay Rays,1519.9,52.7
2026-09-11,10,Pittsburgh Pirates,1519.0,52.5
2026-09-11,11,San Diego Padres,1515.0,52.0
2026-09-11,12,Baltimore Orioles,1513.5,51.7
2026-09-11,13,Chicago White Sox,1511.8,51.5
2026-09-11,14,Miami Marlins,1507.3,50.9
2026-09-11,15,Toronto Blue Jays,1506.5,50.7
2026-09-11,16,New York Mets,1505.9,50.6
2026-09-11,17,Houston Astros,1505.6,50.6
2026-09-11,18,St. Louis Cardinals,1494.5,49.0
2026-09-11,19,Cleveland Guardians,1491.7,48.6
2026-09-11,20,Kansas City Royals,1486.5,47.9
2026-09-11,21,Texas Rangers,1486.3,47.8
2026-09-11,22,Washington Nationals,1482.8,47.3
2026-09-11,23,Cincinnati Reds,1482.2,47.2
2026-09-11,24,Minnesota Twins,1480.8,47.0
2026-09-11,25,Detroit Tigers,1480.6,47.0
2026-09-11,26,Seattle Mariners,1472.4,45.8
2026-09-11,27,Los Angeles Angels,1461.0,44.2
2026-09-11,28,San Francisco Giants,1447.7,42.3
2026-09-11,29,Athletics,1443.3,41.7
2026-09-11,30,Colorado Rockies,1439.3,41.2
