as_of_date,rank,team,pitcher,rating,opponent
2026-09-15,1,New York Yankees,Max Fried,1633.5,Minnesota Twins
2026-09-15,2,Seattle Mariners,Logan Gilbert,1608.9,Los Angeles Angels
2026-09-15,3,Los Angeles Dodgers,Yoshinobu Yamamoto,1580.1,Cincinnati Reds
2026-09-15,4,Texas Rangers,Jacob deGrom,1579.1,Boston Red Sox
2026-09-15,5,Philadelphia Phillies,Cristopher Sánchez,1576.5,Washington Nationals
2026-09-15,6,Chicago Cubs,Kevin Gausman,1564.8,Atlanta Braves
2026-09-15,7,Kansas City Royals,Michael Wacha,1556.9,Houston Astros
2026-09-15,8,Milwaukee Brewers,Jacob Misiorowski,1545.1,Pittsburgh Pirates
2026-09-15,9,San Diego Padres,Walker Buehler,1542.7,Colorado Rockies
2026-09-15,10,Houston Astros,Hunter Brown,1538.6,Kansas City Royals
2026-09-15,11,Baltimore Orioles,Shane Baz,1535.9,New York Mets
2026-09-15,12,Atlanta Braves,Martín Pérez,1524.7,Chicago Cubs
2026-09-15,13,St. Louis Cardinals,Andre Pallante,1523.8,San Francisco Giants
2026-09-15,14,Pittsburgh Pirates,Lake Bachar,1515.6,Milwaukee Brewers
2026-09-15,15,Toronto Blue Jays,Braydon Fisher,1515.0,Detroit Tigers
2026-09-15,16,Los Angeles Angels,Ryan Johnson,1509.5,Seattle Mariners
2026-09-15,17,Chicago White Sox,Chris Murphy,1498.9,Cleveland Guardians
2026-09-15,18,Detroit Tigers,Drew Anderson,1498.5,Toronto Blue Jays
2026-09-15,19,Cleveland Guardians,Foster Griffin,1497.7,Chicago White Sox
2026-09-15,20,Miami Marlins,Janson Junk,1493.4,Arizona Diamondbacks
2026-09-15,21,Minnesota Twins,Bailey Ober,1492.3,New York Yankees
2026-09-15,22,Washington Nationals,Jackson Kent,1491.7,Philadelphia Phillies
2026-09-15,23,Tampa Bay Rays,Griffin Jax,1486.6,Athletics
2026-09-15,24,Cincinnati Reds,Rhett Lowder,1482.5,Los Angeles Dodgers
2026-09-15,25,Boston Red Sox,Patrick Sandoval,1481.2,Texas Rangers
2026-09-15,26,San Francisco Giants,Blade Tidwell,1480.2,St. Louis Cardinals
2026-09-15,27,Athletics,Jack Perkins,1478.4,Tampa Bay Rays
2026-09-15,28,New York Mets,Sean Manaea,1472.8,Baltimore Orioles
2026-09-15,29,Arizona Diamondbacks,Michael Soroka,1455.2,Miami Marlins
2026-09-15,30,Colorado Rockies,Kyle Freeland,1410.0,San Diego Padres
