as_of_date,rank,team,pitcher,rating,opponent
2026-09-20,1,Texas Rangers,Jacob deGrom,1580.2,Toronto Blue Jays
2026-09-20,2,Philadelphia Phillies,Cristopher Sánchez,1577.1,New York Mets
2026-09-20,3,Arizona Diamondbacks,Corbin Burnes,1573.5,New York Yankees
2026-09-20,4,Kansas City Royals,Michael Wacha,1558.2,Pittsburgh Pirates
2026-09-20,5,Miami Marlins,Sandy Alcantara,1554.1,San Diego Padres
2026-09-20,6,Milwaukee Brewers,Jacob Misiorowski,1553.0,Baltimore Orioles
2026-09-20,7,Houston Astros,Hunter Brown,1541.7,Atlanta Braves
2026-09-20,8,Cleveland Guardians,Gavin Williams,1541.5,Athletics
2026-09-20,9,San Diego Padres,Walker Buehler,1538.0,Miami Marlins
2026-09-20,10,Detroit Tigers,Troy Melton,1530.0,Chicago White Sox
2026-09-20,11,Atlanta Braves,Martín Pérez,1529.3,Houston Astros
2026-09-20,12,Colorado Rockies,Tomoyuki Sugano,1518.6,Seattle Mariners
2026-09-20,13,Pittsburgh Pirates,Lake Bachar,1517.8,Kansas City Royals
2026-09-20,14,Los Angeles Angels,Ryan Johnson,1510.5,Minnesota Twins
2026-09-20,15,Baltimore Orioles,Brandon Young,1509.9,Milwaukee Brewers
2026-09-20,16,St. Louis Cardinals,Quinn Mathews,1505.0,Washington Nationals
2026-09-20,17,San Francisco Giants,Matt Wilkinson,1501.9,Los Angeles Dodgers
2026-09-20,18,Chicago White Sox,Davis Martin,1498.9,Detroit Tigers
2026-09-20,19,Seattle Mariners,Kade Anderson,1498.7,Colorado Rockies
2026-09-20,20,Chicago Cubs,David Peterson,1494.7,Cincinnati Reds
2026-09-20,21,Los Angeles Dodgers,Jack Dreyer,1493.5,San Francisco Giants
2026-09-20,22,Toronto Blue Jays,Spencer Miles,1493.1,Texas Rangers
2026-09-20,23,New York Mets,Jonah Tong,1493.0,Philadelphia Phillies
2026-09-20,24,Tampa Bay Rays,Griffin Jax,1492.6,Boston Red Sox
2026-09-20,25,Minnesota Twins,Dean Kremer,1484.8,Los Angeles Angels
2026-09-20,26,Athletics,Jack Perkins,1484.7,Cleveland Guardians
2026-09-20,27,Boston Red Sox,Patrick Sandoval,1481.8,Tampa Bay Rays
2026-09-20,28,Cincinnati Reds,Rhett Lowder,1480.7,Chicago Cubs
2026-09-20,29,Washington Nationals,Jake Irvin,1468.8,St. Louis Cardinals
2026-09-20,30,New York Yankees,Will Warren,1466.3,Arizona Diamondbacks
