as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-07-26,822706,Washington Nationals,1505.3,Arizona Diamondbacks,1516.2,-10.9,49.2
2026-07-26,822870,Texas Rangers,1507.7,Seattle Mariners,1504.9,2.8,53.6
2026-07-26,822950,Tampa Bay Rays,1522.7,Cleveland Guardians,1515.4,7.3,56.0
2026-07-26,823028,St. Louis Cardinals,1507.5,Cincinnati Reds,1496.4,11.1,54.5
2026-07-26,823194,San Francisco Giants,1466.4,Los Angeles Angels,1455.7,10.7,56.5
2026-07-26,823354,Pittsburgh Pirates,1525.4,Chicago Cubs,1546.5,-21.1,49.5
2026-07-26,823433,Philadelphia Phillies,1542.4,New York Yankees,1546.6,-4.2,53.7
2026-07-26,823599,New York Mets,1480.3,Los Angeles Dodgers,1562.4,-82.1,42.1
2026-07-26,823678,Minnesota Twins,1487.0,Athletics,1445.3,41.7,59.7
2026-07-26,823755,Milwaukee Brewers,1572.0,Colorado Rockies,1434.1,137.9,71.0
2026-07-26,823840,Miami Marlins,1512.5,San Diego Padres,1511.0,1.5,53.3
2026-07-26,824246,Detroit Tigers,1517.1,Kansas City Royals,1473.5,43.6,59.0
2026-07-26,824572,Chicago White Sox,1514.1,Houston Astros,1495.5,18.6,57.4
2026-07-26,824730,Boston Red Sox,1543.4,Toronto Blue Jays,1486.3,57.1,60.7
2026-07-26,824810,Baltimore Orioles,1523.5,Atlanta Braves,1540.5,-17.0,47.4
