as_of_date,rank,team,pitcher,rating,opponent
2026-07-24,1,Detroit Tigers,Tarik Skubal,1607.0,Kansas City Royals
2026-07-24,2,San Francisco Giants,Logan Webb,1585.8,Los Angeles Angels
2026-07-24,3,Tampa Bay Rays,Shane McClanahan,1568.0,Cleveland Guardians
2026-07-24,4,Cleveland Guardians,Joey Cantillo,1535.5,Tampa Bay Rays
2026-07-24,5,New York Yankees,Cam Schlittler,1535.4,Philadelphia Phillies
2026-07-24,6,Philadelphia Phillies,Jesús Luzardo,1532.4,New York Yankees
2026-07-24,7,Colorado Rockies,Tomoyuki Sugano,1523.6,Milwaukee Brewers
2026-07-24,8,Seattle Mariners,Bryce Miller,1522.0,Texas Rangers
2026-07-24,9,Atlanta Braves,Grant Holmes,1520.9,Baltimore Orioles
2026-07-24,10,Chicago Cubs,Matthew Boyd,1520.2,Pittsburgh Pirates
2026-07-24,11,Arizona Diamondbacks,Eduardo Rodriguez,1516.9,Washington Nationals
2026-07-24,12,Toronto Blue Jays,Trey Yesavage,1512.8,Boston Red Sox
2026-07-24,13,Chicago White Sox,Davis Martin,1510.8,Houston Astros
2026-07-24,14,St. Louis Cardinals,Dustin May,1510.2,Cincinnati Reds
2026-07-24,15,Baltimore Orioles,Trevor Rogers,1510.1,Atlanta Braves
2026-07-24,16,Kansas City Royals,Beck Way,1504.2,Detroit Tigers
2026-07-24,17,Milwaukee Brewers,Shane Drohan,1500.1,Colorado Rockies
2026-07-24,18,Pittsburgh Pirates,Jared Jones,1494.9,Chicago Cubs
2026-07-24,19,Cincinnati Reds,Rhett Lowder,1494.7,St. Louis Cardinals
2026-07-24,20,Washington Nationals,Carson Palmquist,1494.4,Arizona Diamondbacks
2026-07-24,21,Los Angeles Dodgers,Roki Sasaki,1493.9,New York Mets
2026-07-24,22,Houston Astros,Spencer Arrighetti,1493.5,Chicago White Sox
2026-07-24,23,Los Angeles Angels,Grayson Rodriguez,1489.7,San Francisco Giants
2026-07-24,24,Boston Red Sox,Patrick Sandoval,1487.1,Toronto Blue Jays
2026-07-24,25,Miami Marlins,Ryan Gusto,1483.5,San Diego Padres
2026-07-24,26,Texas Rangers,MacKenzie Gore,1477.4,Seattle Mariners
2026-07-24,27,Athletics,Jacob Lopez,1475.5,Minnesota Twins
2026-07-24,28,New York Mets,Sean Manaea,1471.3,Los Angeles Dodgers
2026-07-24,29,Minnesota Twins,Zebby Matthews,1469.7,Athletics
2026-07-24,30,San Diego Padres,Germán Márquez,1466.5,Miami Marlins
