as_of_date,rank,team,pitcher,rating,opponent
2026-08-26,1,San Francisco Giants,Logan Webb,1593.0,Cincinnati Reds
2026-08-26,2,Boston Red Sox,Sonny Gray,1578.8,Miami Marlins
2026-08-26,3,Baltimore Orioles,Kyle Bradish,1566.6,St. Louis Cardinals
2026-08-26,4,Tampa Bay Rays,Freddy Peralta,1559.4,Detroit Tigers
2026-08-26,5,Seattle Mariners,Bryan Woo,1541.1,Philadelphia Phillies
2026-08-26,6,Detroit Tigers,Troy Melton,1536.2,Tampa Bay Rays
2026-08-26,7,Philadelphia Phillies,Jesús Luzardo,1536.1,Seattle Mariners
2026-08-26,8,San Diego Padres,Randy Vásquez,1534.0,Pittsburgh Pirates
2026-08-26,9,Cleveland Guardians,Joey Cantillo,1532.0,Los Angeles Angels
2026-08-26,10,Arizona Diamondbacks,Eduardo Rodriguez,1530.0,Chicago Cubs
2026-08-26,11,Chicago White Sox,Sean Burke,1519.6,Texas Rangers
2026-08-26,12,Athletics,J.T. Ginn,1519.0,Minnesota Twins
2026-08-26,13,Chicago Cubs,Matthew Boyd,1518.8,Arizona Diamondbacks
2026-08-26,14,Milwaukee Brewers,Dustin May,1514.4,New York Mets
2026-08-26,15,Kansas City Royals,Randy Dobnak,1513.5,Toronto Blue Jays
2026-08-26,16,New York Mets,Robert Stock,1510.6,Milwaukee Brewers
2026-08-26,17,Pittsburgh Pirates,Bubba Chandler,1509.9,San Diego Padres
2026-08-26,18,Atlanta Braves,AJ Smith-Shawver,1509.7,Los Angeles Dodgers
2026-08-26,19,Cincinnati Reds,Nick Lodolo,1507.3,San Francisco Giants
2026-08-26,20,St. Louis Cardinals,Michael McGreevy,1503.4,Baltimore Orioles
2026-08-26,21,New York Yankees,Elmer Rodríguez,1503.2,Houston Astros
2026-08-26,22,Los Angeles Dodgers,Roki Sasaki,1500.0,Atlanta Braves
2026-08-26,23,Houston Astros,Peter Lambert,1495.5,New York Yankees
2026-08-26,24,Toronto Blue Jays,Spencer Miles,1490.6,Kansas City Royals
2026-08-26,25,Washington Nationals,Matt Waldron,1490.5,Colorado Rockies
2026-08-26,26,Miami Marlins,Ryan Gusto,1488.0,Boston Red Sox
2026-08-26,27,Texas Rangers,MacKenzie Gore,1483.2,Chicago White Sox
2026-08-26,28,Los Angeles Angels,Grayson Rodriguez,1478.8,Cleveland Guardians
2026-08-26,29,Minnesota Twins,Connor Prielipp,1472.9,Athletics
2026-08-26,30,Colorado Rockies,Tanner Gordon,1448.6,Washington Nationals
