as_of_date,team,home_adv
2026-07-29,Los Angeles Dodgers,43.9
2026-07-29,Houston Astros,36.7
2026-07-29,Tampa Bay Rays,34.9
2026-07-29,San Francisco Giants,34.6
2026-07-29,Chicago White Sox,33.5
2026-07-29,New York Yankees,31.8
2026-07-29,Colorado Rockies,29.8
2026-07-29,Philadelphia Phillies,29.7
2026-07-29,Seattle Mariners,27.7
2026-07-29,Minnesota Twins,26.9
2026-07-29,New York Mets,26.5
2026-07-29,Oakland Athletics,25.7
2026-07-29,San Diego Padres,25.7
2026-07-29,Toronto Blue Jays,23.5
2026-07-29,Texas Rangers,22.2
2026-07-29,Miami Marlins,21.5
2026-07-29,St. Louis Cardinals,20.4
2026-07-29,Atlanta Braves,20.0
2026-07-29,Detroit Tigers,19.8
2026-07-29,Boston Red Sox,18.5
2026-07-29,Cincinnati Reds,18.0
2026-07-29,Milwaukee Brewers,17.9
2026-07-29,Kansas City Royals,17.7
2026-07-29,Pittsburgh Pirates,17.5
2026-07-29,Cleveland Indians,16.6
2026-07-29,Chicago Cubs,16.2
2026-07-29,Arizona Diamondbacks,15.7
2026-07-29,Los Angeles Angels,15.7
2026-07-29,Washington Nationals,5.3
2026-07-29,Baltimore Orioles,-1.2
