as_of_date,rank,team,pitcher,rating,opponent
2026-09-18,1,New York Yankees,Gerrit Cole,1600.3,Arizona Diamondbacks
2026-09-18,2,Toronto Blue Jays,Dylan Cease,1577.9,Texas Rangers
2026-09-18,3,Los Angeles Dodgers,Tyler Glasnow,1577.6,San Francisco Giants
2026-09-18,4,Boston Red Sox,Ranger Suarez,1563.5,Tampa Bay Rays
2026-09-18,5,Pittsburgh Pirates,Paul Skenes,1561.2,Kansas City Royals
2026-09-18,6,Seattle Mariners,Bryan Woo,1545.5,Colorado Rockies
2026-09-18,7,San Diego Padres,Nick Pivetta,1544.3,Miami Marlins
2026-09-18,8,Chicago Cubs,Clay Holmes,1530.1,Cincinnati Reds
2026-09-18,9,Arizona Diamondbacks,Eduardo Rodriguez,1528.3,New York Yankees
2026-09-18,10,Cincinnati Reds,Chase Burns,1525.6,Chicago Cubs
2026-09-18,11,Atlanta Braves,Tyler Mahle,1521.5,Houston Astros
2026-09-18,12,Kansas City Royals,Randy Dobnak,1513.6,Pittsburgh Pirates
2026-09-18,13,Milwaukee Brewers,Dustin May,1513.4,Baltimore Orioles
2026-09-18,14,St. Louis Cardinals,Kyle Leahy,1511.7,Washington Nationals
2026-09-18,15,New York Mets,Zac Thornton,1507.3,Philadelphia Phillies
2026-09-18,16,Miami Marlins,Tyler Phillips,1502.9,San Diego Padres
2026-09-18,17,Chicago White Sox,David Sandlin,1500.7,Detroit Tigers
2026-09-18,18,Cleveland Guardians,Daniel Espino,1499.9,Athletics
2026-09-18,19,Tampa Bay Rays,Ian Seymour,1499.2,Boston Red Sox
2026-09-18,20,San Francisco Giants,Cesar Perdomo,1498.7,Los Angeles Dodgers
2026-09-18,21,Detroit Tigers,Andrew Sears,1496.3,Chicago White Sox
2026-09-18,22,Houston Astros,Peter Lambert,1492.9,Atlanta Braves
2026-09-18,23,Washington Nationals,Cade Cavalli,1491.9,St. Louis Cardinals
2026-09-18,24,Athletics,Mason Barnett,1487.8,Cleveland Guardians
2026-09-18,25,Texas Rangers,Kumar Rocker,1481.3,Toronto Blue Jays
2026-09-18,26,Los Angeles Angels,Grayson Rodriguez,1474.5,Minnesota Twins
2026-09-18,27,Minnesota Twins,Connor Prielipp,1467.7,Los Angeles Angels
2026-09-18,28,Baltimore Orioles,Cade Povich,1464.2,Milwaukee Brewers
