as_of_date,rank,team,pitcher,rating,opponent
2026-08-20,1,New York Yankees,Gerrit Cole,1603.4,Baltimore Orioles
2026-08-20,2,Texas Rangers,Jacob deGrom,1580.9,Washington Nationals
2026-08-20,3,Toronto Blue Jays,Shane Bieber,1572.8,Tampa Bay Rays
2026-08-20,4,Baltimore Orioles,Kyle Bradish,1563.2,New York Yankees
2026-08-20,5,Seattle Mariners,George Kirby,1560.0,Milwaukee Brewers
2026-08-20,6,Cleveland Guardians,Gavin Williams,1537.7,San Francisco Giants
2026-08-20,7,Chicago White Sox,Anthony Kay,1518.7,Atlanta Braves
2026-08-20,8,Atlanta Braves,Grant Holmes,1518.2,Chicago White Sox
2026-08-20,9,Kansas City Royals,Randy Dobnak,1508.9,Athletics
2026-08-20,10,San Francisco Giants,Landen Roupp,1507.9,Cleveland Guardians
2026-08-20,11,St. Louis Cardinals,Michael McGreevy,1507.2,Cincinnati Reds
2026-08-20,12,Houston Astros,Peter Lambert,1504.2,Los Angeles Angels
2026-08-20,13,Washington Nationals,Andrew Alvarez,1502.6,Texas Rangers
2026-08-20,14,Milwaukee Brewers,Robert Gasser,1501.0,Seattle Mariners
2026-08-20,15,Tampa Bay Rays,Ian Seymour,1499.8,Toronto Blue Jays
2026-08-20,16,Cincinnati Reds,Brady Singer,1499.1,St. Louis Cardinals
2026-08-20,17,Athletics,Gage Jump,1482.7,Kansas City Royals
2026-08-20,18,Los Angeles Angels,Grayson Rodriguez,1475.1,Houston Astros
