as_of_date,rank,team,elo_rating,anticipated_win_pct
2026-09-02,1,Milwaukee Brewers,1568.2,59.5
2026-09-02,2,Boston Red Sox,1544.8,56.2
2026-09-02,3,Chicago Cubs,1541.6,55.8
2026-09-02,4,Philadelphia Phillies,1531.4,54.3
2026-09-02,5,New York Yankees,1530.0,54.1
2026-09-02,6,Los Angeles Dodgers,1529.4,54.0
2026-09-02,7,Atlanta Braves,1529.1,54.0
2026-09-02,8,Arizona Diamondbacks,1523.6,53.2
2026-09-02,9,Chicago White Sox,1519.9,52.7
2026-09-02,10,Baltimore Orioles,1518.5,52.4
2026-09-02,11,Tampa Bay Rays,1515.5,52.0
2026-09-02,12,San Diego Padres,1515.0,51.9
2026-09-02,13,Miami Marlins,1510.1,51.2
2026-09-02,14,Pittsburgh Pirates,1506.0,50.7
2026-09-02,15,Toronto Blue Jays,1503.2,50.2
2026-09-02,16,Cleveland Guardians,1500.2,49.8
2026-09-02,17,St. Louis Cardinals,1499.1,49.7
2026-09-02,18,Houston Astros,1498.5,49.6
2026-09-02,19,New York Mets,1494.3,49.0
2026-09-02,20,Washington Nationals,1489.1,48.2
2026-09-02,21,Kansas City Royals,1486.5,47.8
2026-09-02,22,Texas Rangers,1485.9,47.8
2026-09-02,23,Detroit Tigers,1482.5,47.3
2026-09-02,24,Minnesota Twins,1481.2,47.1
2026-09-02,25,Cincinnati Reds,1480.2,46.9
2026-09-02,26,Seattle Mariners,1472.9,45.9
2026-09-02,27,Los Angeles Angels,1464.4,44.7
2026-09-02,28,San Francisco Giants,1449.6,42.6
2026-09-02,29,Colorado Rockies,1440.2,41.3
2026-09-02,30,Athletics,1433.0,40.3
