as_of_date,rank,team,pitcher,rating,opponent
2026-07-30,1,Tampa Bay Rays,Shane McClanahan,1567.6,Texas Rangers
2026-07-30,2,Boston Red Sox,Sonny Gray,1565.7,Athletics
2026-07-30,3,Seattle Mariners,Bryan Woo,1535.9,Los Angeles Dodgers
2026-07-30,4,St. Louis Cardinals,Andre Pallante,1525.6,Chicago Cubs
2026-07-30,5,Chicago Cubs,Javier Assad,1525.1,St. Louis Cardinals
2026-07-30,6,New York Mets,Nolan McLean,1521.0,Miami Marlins
2026-07-30,7,Atlanta Braves,Grant Holmes,1519.8,Washington Nationals
2026-07-30,8,Chicago White Sox,Sean Burke,1514.6,New York Yankees
2026-07-30,9,Texas Rangers,Cole Winn,1501.8,Tampa Bay Rays
2026-07-30,10,Miami Marlins,Eury Pérez,1501.8,New York Mets
2026-07-30,11,Athletics,Mason Barnett,1500.2,Boston Red Sox
2026-07-30,12,New York Yankees,Ryan Weathers,1496.6,Chicago White Sox
2026-07-30,13,Minnesota Twins,Bailey Ober,1494.6,Kansas City Royals
2026-07-30,14,Kansas City Royals,Noah Cameron,1493.5,Minnesota Twins
2026-07-30,15,Cincinnati Reds,Rhett Lowder,1492.9,Pittsburgh Pirates
2026-07-30,16,Los Angeles Dodgers,Roki Sasaki,1492.1,Seattle Mariners
2026-07-30,17,San Diego Padres,JP Sears,1473.3,San Francisco Giants
2026-07-30,18,Washington Nationals,Jake Irvin,1470.5,Atlanta Braves
2026-07-30,19,Pittsburgh Pirates,Yohan Ramírez,,Cincinnati Reds
