as_of_date,rank,team,pitcher,rating,opponent
2026-08-04,1,Los Angeles Dodgers,Tarik Skubal,1601.3,Chicago Cubs
2026-08-04,2,Tampa Bay Rays,Freddy Peralta,1567.1,Colorado Rockies
2026-08-04,3,Cleveland Guardians,Joey Cantillo,1531.6,New York Mets
2026-08-04,4,Detroit Tigers,Troy Melton,1529.3,Seattle Mariners
2026-08-04,5,Philadelphia Phillies,Jesús Luzardo,1528.3,Washington Nationals
2026-08-04,6,Chicago Cubs,Javier Assad,1525.1,Los Angeles Dodgers
2026-08-04,7,San Diego Padres,Randy Vásquez,1523.9,Arizona Diamondbacks
2026-08-04,8,Minnesota Twins,Joe Ryan,1520.9,Kansas City Royals
2026-08-04,9,Atlanta Braves,Grant Holmes,1520.6,Miami Marlins
2026-08-04,10,Arizona Diamondbacks,Eduardo Rodriguez,1519.6,San Diego Padres
2026-08-04,11,Athletics,J.T. Ginn,1517.5,Cincinnati Reds
2026-08-04,12,Milwaukee Brewers,Logan Henderson,1517.0,Pittsburgh Pirates
2026-08-04,13,Toronto Blue Jays,Trey Yesavage,1514.3,Houston Astros
2026-08-04,14,Kansas City Royals,Randy Dobnak,1512.5,Minnesota Twins
2026-08-04,15,Chicago White Sox,Davis Martin,1508.3,Boston Red Sox
2026-08-04,16,St. Louis Cardinals,Hunter Dobbins,1506.9,New York Yankees
2026-08-04,17,Cincinnati Reds,Brady Singer,1503.8,Athletics
2026-08-04,18,Houston Astros,Hayden Wesneski,1499.3,Toronto Blue Jays
2026-08-04,19,New York Yankees,Ryan Weathers,1498.8,St. Louis Cardinals
2026-08-04,20,San Francisco Giants,Blade Tidwell,1498.7,Texas Rangers
2026-08-04,21,Colorado Rockies,Gabriel Hughes,1497.6,Tampa Bay Rays
2026-08-04,22,Pittsburgh Pirates,Jared Jones,1493.9,Milwaukee Brewers
2026-08-04,23,Washington Nationals,Carson Palmquist,1491.6,Philadelphia Phillies
2026-08-04,24,Seattle Mariners,Emerson Hancock,1489.8,Detroit Tigers
2026-08-04,25,Boston Red Sox,Patrick Sandoval,1489.2,Chicago White Sox
2026-08-04,26,Los Angeles Angels,Grayson Rodriguez,1488.1,Baltimore Orioles
2026-08-04,27,Miami Marlins,Ryan Gusto,1483.4,Atlanta Braves
2026-08-04,28,Texas Rangers,MacKenzie Gore,1478.5,San Francisco Giants
2026-08-04,29,New York Mets,Sean Manaea,1474.5,Cleveland Guardians
2026-08-04,30,Baltimore Orioles,Cade Povich,1464.0,Los Angeles Angels
