as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-08-05,822866,Texas Rangers,1499.5,San Francisco Giants,1471.0,28.5,57.2
2026-08-05,823106,Seattle Mariners,1506.3,Detroit Tigers,1527.4,-21.1,50.9
2026-08-05,823429,Philadelphia Phillies,1527.1,Washington Nationals,1492.9,34.2,59.1
2026-08-05,823516,New York Yankees,1543.4,St. Louis Cardinals,1499.2,44.2,60.8
2026-08-05,823753,Milwaukee Brewers,1569.5,Pittsburgh Pirates,1512.7,56.8,60.6
2026-08-05,824082,Kansas City Royals,1461.7,Minnesota Twins,1485.7,-24.0,49.1
2026-08-05,824158,Houston Astros,1503.3,Toronto Blue Jays,1496.6,6.7,56.2
2026-08-05,824322,Colorado Rockies,1430.0,Tampa Bay Rays,1532.0,-102.0,39.8
2026-08-05,824402,Cleveland Guardians,1519.4,New York Mets,1488.0,31.4,57.4
2026-08-05,824482,Cincinnati Reds,1496.8,Athletics,1433.1,63.7,61.5
2026-08-05,824646,Chicago Cubs,1554.7,Los Angeles Dodgers,1541.7,13.0,54.2
2026-08-05,824728,Boston Red Sox,1569.4,Chicago White Sox,1517.6,51.8,60.0
2026-08-05,824806,Baltimore Orioles,1521.5,Los Angeles Angels,1450.2,71.3,60.0
2026-08-05,824889,Atlanta Braves,1534.8,Miami Marlins,1519.1,15.7,55.1
2026-08-05,825052,Arizona Diamondbacks,1523.4,San Diego Padres,1517.8,5.6,53.1
