as_of_date,rank,team,pitcher,rating,opponent
2026-08-30,1,Philadelphia Phillies,Zack Wheeler,1631.4,Los Angeles Angels
2026-08-30,2,Seattle Mariners,Logan Gilbert,1611.8,Toronto Blue Jays
2026-08-30,3,Los Angeles Dodgers,Tyler Glasnow,1577.9,Detroit Tigers
2026-08-30,4,Chicago Cubs,Shota Imanaga,1568.5,Cincinnati Reds
2026-08-30,5,Detroit Tigers,Framber Valdez,1566.3,Los Angeles Dodgers
2026-08-30,6,Tampa Bay Rays,Drew Rasmussen,1564.7,San Diego Padres
2026-08-30,7,San Diego Padres,Robbie Ray,1561.2,Tampa Bay Rays
2026-08-30,8,Boston Red Sox,Ranger Suarez,1556.3,New York Yankees
2026-08-30,9,Toronto Blue Jays,Max Scherzer,1539.4,Seattle Mariners
2026-08-30,10,Cleveland Guardians,Parker Messick,1537.4,Kansas City Royals
2026-08-30,11,Cincinnati Reds,Chase Burns,1527.5,Chicago Cubs
2026-08-30,12,Pittsburgh Pirates,Braxton Ashcraft,1524.5,St. Louis Cardinals
2026-08-30,13,Baltimore Orioles,Chris Bassitt,1518.8,Athletics
2026-08-30,14,Atlanta Braves,Tyler Mahle,1517.3,Colorado Rockies
2026-08-30,15,Milwaukee Brewers,Dustin May,1510.7,Texas Rangers
2026-08-30,16,New York Mets,Zac Thornton,1509.6,Houston Astros
2026-08-30,17,Colorado Rockies,Mason Adams,1505.3,Atlanta Braves
2026-08-30,18,Miami Marlins,Janson Junk,1503.3,Washington Nationals
2026-08-30,19,Washington Nationals,Andrew Alvarez,1502.9,Miami Marlins
2026-08-30,20,Houston Astros,Ethan Pecko,1501.0,New York Mets
2026-08-30,21,Kansas City Royals,Seth Lugo,1495.8,Cleveland Guardians
2026-08-30,22,Chicago White Sox,Jordan Hicks,1492.7,Minnesota Twins
2026-08-30,23,Texas Rangers,Kumar Rocker,1478.2,Milwaukee Brewers
2026-08-30,24,Minnesota Twins,Zebby Matthews,1473.5,Chicago White Sox
2026-08-30,25,Los Angeles Angels,Yusei Kikuchi,1471.2,Philadelphia Phillies
2026-08-30,26,St. Louis Cardinals,Matthew Liberatore,1468.6,Pittsburgh Pirates
2026-08-30,27,Athletics,Jeffrey Springs,1467.2,Baltimore Orioles
2026-08-30,28,New York Yankees,Will Warren,1464.9,Boston Red Sox
