as_of_date,rank,team,pitcher,rating,opponent
2026-09-02,1,Los Angeles Dodgers,Yoshinobu Yamamoto,1580.5,St. Louis Cardinals
2026-09-02,2,Toronto Blue Jays,Dylan Cease,1577.4,Cleveland Guardians
2026-09-02,3,Milwaukee Brewers,Jacob Misiorowski,1547.3,Chicago Cubs
2026-09-02,4,New York Yankees,Cam Schlittler,1538.5,Los Angeles Angels
2026-09-02,5,Cleveland Guardians,Joey Cantillo,1536.2,Toronto Blue Jays
2026-09-02,6,Atlanta Braves,Grant Holmes,1525.9,Washington Nationals
2026-09-02,7,Colorado Rockies,Tomoyuki Sugano,1522.1,Baltimore Orioles
2026-09-02,8,San Diego Padres,Casey Mize,1516.8,Cincinnati Reds
2026-09-02,9,San Francisco Giants,Landen Roupp,1515.2,Pittsburgh Pirates
2026-09-02,10,Pittsburgh Pirates,Bubba Chandler,1511.7,San Francisco Giants
2026-09-02,11,Kansas City Royals,Noah Cameron,1508.0,Miami Marlins
2026-09-02,12,Miami Marlins,Eury Pérez,1507.6,Kansas City Royals
2026-09-02,13,Arizona Diamondbacks,Taylor Clarke,1504.9,Philadelphia Phillies
2026-09-02,14,New York Mets,Justin Hagenman,1504.5,Tampa Bay Rays
2026-09-02,15,Detroit Tigers,Drew Anderson,1503.2,Minnesota Twins
2026-09-02,16,Houston Astros,Hayden Wesneski,1502.5,Chicago White Sox
2026-09-02,17,Baltimore Orioles,Trevor Rogers,1498.3,Colorado Rockies
2026-09-02,18,Washington Nationals,Brad Lord,1497.2,Atlanta Braves
2026-09-02,19,Chicago White Sox,Davis Martin,1496.1,Houston Astros
2026-09-02,20,Chicago Cubs,David Peterson,1496.1,Milwaukee Brewers
2026-09-02,21,Texas Rangers,Cody Bradford,1493.6,Athletics
2026-09-02,22,Tampa Bay Rays,Griffin Jax,1492.7,New York Mets
2026-09-02,23,Minnesota Twins,Dean Kremer,1492.4,Detroit Tigers
2026-09-02,24,Los Angeles Angels,Reid Detmers,1492.4,New York Yankees
2026-09-02,25,Cincinnati Reds,Brandon Williamson,1487.5,San Diego Padres
2026-09-02,26,Philadelphia Phillies,Andrew Painter,1487.3,Arizona Diamondbacks
2026-09-02,27,Seattle Mariners,Bryce Miller,1484.1,Boston Red Sox
2026-09-02,28,Boston Red Sox,Patrick Sandoval,1483.9,Seattle Mariners
2026-09-02,29,Athletics,Jacob Lopez,1479.8,Texas Rangers
