as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-09-18,822847,Texas Rangers,1497.3,Toronto Blue Jays,1520.9,-23.6,49.8
2026-09-18,822923,Tampa Bay Rays,1538.0,Boston Red Sox,1554.3,-16.3,52.7
2026-09-18,823005,St. Louis Cardinals,1493.9,Washington Nationals,1478.1,15.8,55.2
2026-09-18,823252,San Diego Padres,1543.1,Miami Marlins,1509.1,34.0,58.5
2026-09-18,823331,Pittsburgh Pirates,1523.0,Kansas City Royals,1486.1,36.9,57.8
2026-09-18,823572,New York Mets,1516.7,Philadelphia Phillies,1548.5,-31.8,49.2
2026-09-18,823898,Los Angeles Dodgers,1551.6,San Francisco Giants,1470.7,80.9,67.2
2026-09-18,823977,Los Angeles Angels,1450.0,Minnesota Twins,1465.1,-15.1,50.1
2026-09-18,824138,Houston Astros,1497.0,Atlanta Braves,1545.4,-48.4,48.3
2026-09-18,824303,Colorado Rockies,1415.3,Seattle Mariners,1481.0,-65.7,44.9
2026-09-18,824383,Cleveland Guardians,1512.8,Athletics,1432.3,80.5,64.1
2026-09-18,824463,Cincinnati Reds,1482.1,Chicago Cubs,1547.5,-65.4,43.2
2026-09-18,824547,Chicago White Sox,1498.9,Detroit Tigers,1510.1,-11.2,53.2
2026-09-18,824790,Baltimore Orioles,1521.8,Milwaukee Brewers,1581.8,-60.0,41.3
2026-09-18,825032,Arizona Diamondbacks,1527.5,New York Yankees,1556.5,-29.0,48.1
