as_of_date,rank,team,pitcher,rating,opponent
2026-09-23,1,Atlanta Braves,Chris Sale,1624.7,Cincinnati Reds
2026-09-23,2,New York Yankees,Gerrit Cole,1603.0,Tampa Bay Rays
2026-09-23,3,Los Angeles Dodgers,Yoshinobu Yamamoto,1583.6,San Diego Padres
2026-09-23,4,Boston Red Sox,Sonny Gray,1581.6,Cleveland Guardians
2026-09-23,5,Detroit Tigers,Framber Valdez,1576.4,Washington Nationals
2026-09-23,6,Chicago Cubs,Kevin Gausman,1564.0,Miami Marlins
2026-09-23,7,San Diego Padres,Robbie Ray,1559.6,Los Angeles Dodgers
2026-09-23,8,Seattle Mariners,George Kirby,1555.7,Houston Astros
2026-09-23,9,Arizona Diamondbacks,Merrill Kelly,1547.4,Colorado Rockies
2026-09-23,10,Toronto Blue Jays,Max Scherzer,1545.7,Baltimore Orioles
2026-09-23,11,Cincinnati Reds,Andrew Abbott,1536.9,Atlanta Braves
2026-09-23,12,Milwaukee Brewers,Logan Henderson,1534.5,Philadelphia Phillies
2026-09-23,13,Baltimore Orioles,Chris Bassitt,1527.5,Toronto Blue Jays
2026-09-23,14,New York Mets,Nolan McLean,1526.3,Texas Rangers
2026-09-23,15,Los Angeles Angels,Walbert Ureña,1522.8,Athletics
2026-09-23,16,Pittsburgh Pirates,Lake Bachar,1517.8,St. Louis Cardinals
2026-09-23,17,Chicago White Sox,Bryan Hudson,1509.7,Kansas City Royals
2026-09-23,18,Philadelphia Phillies,Aaron Nola,1502.4,Milwaukee Brewers
2026-09-23,19,Houston Astros,Ethan Pecko,1501.9,Seattle Mariners
2026-09-23,20,Tampa Bay Rays,Mason Englert,1500.1,New York Yankees
2026-09-23,21,San Francisco Giants,Cesar Perdomo,1499.9,Minnesota Twins
2026-09-23,22,Kansas City Royals,Seth Lugo,1498.5,Chicago White Sox
2026-09-23,23,Colorado Rockies,Mason Adams,1497.8,Arizona Diamondbacks
2026-09-23,24,Cleveland Guardians,Foster Griffin,1496.4,Boston Red Sox
2026-09-23,25,Washington Nationals,Richard Lovelady,1496.4,Detroit Tigers
2026-09-23,26,Texas Rangers,Cody Bradford,1493.8,New York Mets
2026-09-23,27,Miami Marlins,Ryan Gusto,1487.5,Chicago Cubs
2026-09-23,28,Minnesota Twins,Connor Prielipp,1473.6,San Francisco Giants
2026-09-23,29,Athletics,Jeffrey Springs,1461.9,Los Angeles Angels
2026-09-23,30,St. Louis Cardinals,Matthew Liberatore,1460.8,Pittsburgh Pirates
