as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-07-18,822790,Toronto Blue Jays,1499.1,Chicago White Sox,1513.3,-14.2,51.3
2026-07-18,823116,Seattle Mariners,1516.3,San Francisco Giants,1481.1,35.2,59.0
2026-07-18,823441,Philadelphia Phillies,1541.4,New York Mets,1474.6,66.8,63.5
2026-07-18,823523,New York Yankees,1540.1,Los Angeles Dodgers,1557.7,-17.6,52.0
2026-07-18,823763,Milwaukee Brewers,1572.2,Miami Marlins,1530.4,41.8,58.5
2026-07-18,824008,Los Angeles Angels,1454.6,Detroit Tigers,1513.2,-58.6,43.9
2026-07-18,824088,Kansas City Royals,1463.6,San Diego Padres,1497.2,-33.6,47.7
2026-07-18,824169,Houston Astros,1491.3,Baltimore Orioles,1520.3,-29.0,51.1
2026-07-18,824331,Colorado Rockies,1440.1,Cincinnati Reds,1488.2,-48.1,47.4
2026-07-18,824412,Cleveland Guardians,1530.8,Pittsburgh Pirates,1525.0,5.8,53.7
2026-07-18,824414,Cleveland Guardians,1530.8,Pittsburgh Pirates,1525.0,5.8,53.7
2026-07-18,824657,Chicago Cubs,1542.7,Minnesota Twins,1489.8,52.9,59.8
2026-07-18,824738,Boston Red Sox,1543.2,Tampa Bay Rays,1519.8,23.4,56.0
2026-07-18,824899,Atlanta Braves,1533.1,Texas Rangers,1510.2,22.9,56.1
2026-07-18,824979,Athletics,1450.8,Washington Nationals,1505.4,-54.6,45.1
2026-07-18,825059,Arizona Diamondbacks,1512.9,St. Louis Cardinals,1520.0,-7.1,51.2
