as_of_date,rank,team,pitcher,rating,opponent
2026-09-22,1,Philadelphia Phillies,Zack Wheeler,1646.1,Milwaukee Brewers
2026-09-22,2,New York Yankees,Max Fried,1641.1,Tampa Bay Rays
2026-09-22,3,Seattle Mariners,Logan Gilbert,1610.0,Houston Astros
2026-09-22,4,Tampa Bay Rays,Drew Rasmussen,1575.9,New York Yankees
2026-09-22,5,New York Yankees,Carlos Rodón,1575.2,Tampa Bay Rays
2026-09-22,6,Chicago Cubs,Shota Imanaga,1573.4,Miami Marlins
2026-09-22,7,Tampa Bay Rays,Nick Martinez,1558.9,New York Yankees
2026-09-22,8,Cleveland Guardians,Parker Messick,1543.7,Boston Red Sox
2026-09-22,9,San Diego Padres,Michael King,1543.1,Los Angeles Dodgers
2026-09-22,10,Toronto Blue Jays,Max Scherzer,1541.3,Baltimore Orioles
2026-09-22,11,Baltimore Orioles,Chris Bassitt,1523.4,Toronto Blue Jays
2026-09-22,12,St. Louis Cardinals,Andre Pallante,1522.0,Pittsburgh Pirates
2026-09-22,13,Boston Red Sox,Payton Tolle,1519.6,Cleveland Guardians
2026-09-22,14,Milwaukee Brewers,Dustin May,1518.0,Philadelphia Phillies
2026-09-22,15,Chicago White Sox,Anthony Kay,1515.2,Kansas City Royals
2026-09-22,16,Detroit Tigers,Drew Anderson,1505.9,Washington Nationals
2026-09-22,17,Pittsburgh Pirates,Jared Jones,1505.3,St. Louis Cardinals
2026-09-22,18,Athletics,Brady Basso,1504.4,Los Angeles Angels
2026-09-22,19,Kansas City Royals,Daniel Lynch IV,1504.2,Chicago White Sox
2026-09-22,20,Washington Nationals,Riley Cornelio,1502.4,Detroit Tigers
2026-09-22,21,Miami Marlins,Janson Junk,1501.5,Chicago Cubs
2026-09-22,22,Atlanta Braves,JR Ritchie,1498.0,Cincinnati Reds
2026-09-22,23,Houston Astros,Cristian Javier,1496.7,Seattle Mariners
2026-09-22,24,San Francisco Giants,Anthony Molina,1495.0,Minnesota Twins
2026-09-22,25,Cincinnati Reds,Brandon Williamson,1492.6,Atlanta Braves
2026-09-22,26,Minnesota Twins,Taj Bradley,1483.1,San Francisco Giants
2026-09-22,27,Los Angeles Angels,Yusei Kikuchi,1471.0,Athletics
2026-09-22,28,New York Mets,Sean Manaea,1470.6,Texas Rangers
2026-09-22,29,Texas Rangers,MacKenzie Gore,1469.7,New York Mets
2026-09-22,30,Arizona Diamondbacks,Michael Soroka,1457.8,Colorado Rockies
2026-09-22,31,Colorado Rockies,Kyle Freeland,1416.8,Arizona Diamondbacks
2026-09-22,32,Los Angeles Dodgers,Brock Stewart,,San Diego Padres
