as_of_date,rank,team,pitcher,rating,opponent
2026-07-19,1,Seattle Mariners,Logan Gilbert,1601.3,San Francisco Giants
2026-07-19,2,Boston Red Sox,Sonny Gray,1567.8,Tampa Bay Rays
2026-07-19,3,Los Angeles Dodgers,Yoshinobu Yamamoto,1564.3,New York Yankees
2026-07-19,4,Tampa Bay Rays,Shane McClanahan,1563.7,Boston Red Sox
2026-07-19,5,Pittsburgh Pirates,Paul Skenes,1562.8,Cleveland Guardians
2026-07-19,6,Chicago Cubs,Shota Imanaga,1558.4,Minnesota Twins
2026-07-19,7,Texas Rangers,Nathan Eovaldi,1558.4,Atlanta Braves
2026-07-19,8,San Francisco Giants,Robbie Ray,1556.6,Seattle Mariners
2026-07-19,9,Cincinnati Reds,Hunter Greene,1535.8,Colorado Rockies
2026-07-19,10,Houston Astros,Hunter Brown,1535.1,Baltimore Orioles
2026-07-19,11,Cleveland Guardians,Joey Cantillo,1531.2,Pittsburgh Pirates
2026-07-19,12,New York Yankees,Cam Schlittler,1531.0,Los Angeles Dodgers
2026-07-19,13,St. Louis Cardinals,Andre Pallante,1525.8,Arizona Diamondbacks
2026-07-19,14,Detroit Tigers,Casey Mize,1523.3,Los Angeles Angels
2026-07-19,15,Arizona Diamondbacks,Eduardo Rodriguez,1519.0,St. Louis Cardinals
2026-07-19,16,Atlanta Braves,Grant Holmes,1516.4,Texas Rangers
2026-07-19,17,New York Mets,Nolan McLean,1514.8,Philadelphia Phillies
2026-07-19,18,Chicago White Sox,Sean Burke,1510.2,Toronto Blue Jays
2026-07-19,19,Washington Nationals,Foster Griffin,1510.1,Athletics
2026-07-19,20,Toronto Blue Jays,Trey Yesavage,1507.6,Chicago White Sox
2026-07-19,21,Los Angeles Dodgers,Will Klein,1505.8,New York Yankees
2026-07-19,22,Miami Marlins,Eury Pérez,1503.3,Milwaukee Brewers
2026-07-19,23,Baltimore Orioles,Brandon Young,1500.6,Houston Astros
2026-07-19,24,Los Angeles Angels,Ryan Johnson,1499.6,Detroit Tigers
2026-07-19,25,Kansas City Royals,Noah Cameron,1498.9,San Diego Padres
2026-07-19,26,Milwaukee Brewers,Robert Gasser,1497.4,Miami Marlins
2026-07-19,27,Philadelphia Phillies,Alan Rangel,1489.7,New York Mets
2026-07-19,28,Athletics,Jacob Lopez,1476.2,Washington Nationals
2026-07-19,29,Minnesota Twins,Zebby Matthews,1466.8,Chicago Cubs
2026-07-19,30,San Diego Padres,Germán Márquez,1462.2,Kansas City Royals
2026-07-19,31,Colorado Rockies,Ryan Feltner,1442.1,Cincinnati Reds
