as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-07-23,822785,Toronto Blue Jays,1499.0,Tampa Bay Rays,1521.4,-22.4,50.2
2026-07-23,823042,St. Louis Cardinals,1507.8,Arizona Diamondbacks,1519.0,-11.2,51.3
2026-07-23,824247,Detroit Tigers,1516.8,Kansas City Royals,1472.8,44.0,59.1
2026-07-23,824406,Cleveland Guardians,1530.1,Minnesota Twins,1487.3,42.8,59.0
2026-07-23,824893,Atlanta Braves,1533.1,San Diego Padres,1500.8,32.3,57.5
