as_of_date,rank,team,pitcher,rating,opponent
2026-09-19,1,Los Angeles Dodgers,Tarik Skubal,1614.9,San Francisco Giants
2026-09-19,2,Tampa Bay Rays,Freddy Peralta,1570.4,Boston Red Sox
2026-09-19,3,Cleveland Guardians,Tanner Bibee,1569.0,Athletics
2026-09-19,4,New York Yankees,Cam Schlittler,1547.4,Arizona Diamondbacks
2026-09-19,5,Colorado Rockies,Jose Quintana,1537.9,Seattle Mariners
2026-09-19,6,Atlanta Braves,Grant Holmes,1530.2,Houston Astros
2026-09-19,7,Chicago Cubs,Matthew Boyd,1522.7,Cincinnati Reds
2026-09-19,8,Chicago White Sox,Sean Burke,1518.3,Detroit Tigers
2026-09-19,9,Cincinnati Reds,Nick Lodolo,1517.8,Chicago Cubs
2026-09-19,10,New York Mets,Christian Scott,1516.5,Philadelphia Phillies
2026-09-19,11,Pittsburgh Pirates,Bubba Chandler,1514.8,Kansas City Royals
2026-09-19,12,San Diego Padres,Casey Mize,1512.8,Miami Marlins
2026-09-19,13,Milwaukee Brewers,Robert Gasser,1509.0,Baltimore Orioles
2026-09-19,14,Minnesota Twins,Joe Ryan,1508.2,Los Angeles Angels
2026-09-19,15,San Francisco Giants,Yunior Marte,1508.1,Los Angeles Dodgers
2026-09-19,16,Detroit Tigers,Jackson Jobe,1507.1,Chicago White Sox
2026-09-19,17,Kansas City Royals,Noah Cameron,1505.9,Pittsburgh Pirates
2026-09-19,18,Arizona Diamondbacks,Brandon Pfaadt,1504.2,New York Yankees
2026-09-19,19,Washington Nationals,Andrew Alvarez,1503.5,St. Louis Cardinals
2026-09-19,20,Boston Red Sox,Brayan Bello,1501.3,Tampa Bay Rays
2026-09-19,21,Houston Astros,Hayden Wesneski,1499.6,Atlanta Braves
2026-09-19,22,Miami Marlins,Eury Pérez,1499.2,San Diego Padres
2026-09-19,23,St. Louis Cardinals,Michael McGreevy,1499.0,Washington Nationals
2026-09-19,24,Baltimore Orioles,Trevor Rogers,1498.0,Milwaukee Brewers
2026-09-19,25,Los Angeles Angels,Reid Detmers,1495.8,Minnesota Twins
2026-09-19,26,Philadelphia Phillies,Andrew Painter,1490.4,New York Mets
2026-09-19,27,Toronto Blue Jays,José Soriano,1485.8,Texas Rangers
2026-09-19,28,Texas Rangers,Cal Quantrill,1484.8,Toronto Blue Jays
2026-09-19,29,Athletics,Jacob Lopez,1480.6,Cleveland Guardians
2026-09-19,30,Seattle Mariners,Bryce Miller,1474.4,Colorado Rockies
