as_of_date,team,home_adv
2026-08-09,Los Angeles Dodgers,43.9
2026-08-09,Houston Astros,36.7
2026-08-09,Tampa Bay Rays,34.9
2026-08-09,San Francisco Giants,34.6
2026-08-09,Chicago White Sox,33.5
2026-08-09,New York Yankees,31.8
2026-08-09,Colorado Rockies,29.8
2026-08-09,Philadelphia Phillies,29.7
2026-08-09,Seattle Mariners,27.7
2026-08-09,Minnesota Twins,26.9
2026-08-09,New York Mets,26.5
2026-08-09,Oakland Athletics,25.7
2026-08-09,San Diego Padres,25.7
2026-08-09,Toronto Blue Jays,23.5
2026-08-09,Texas Rangers,22.2
2026-08-09,Miami Marlins,21.5
2026-08-09,St. Louis Cardinals,20.4
2026-08-09,Atlanta Braves,20.0
2026-08-09,Detroit Tigers,19.8
2026-08-09,Boston Red Sox,18.5
2026-08-09,Cincinnati Reds,18.0
2026-08-09,Milwaukee Brewers,17.9
2026-08-09,Kansas City Royals,17.7
2026-08-09,Pittsburgh Pirates,17.5
2026-08-09,Cleveland Indians,16.6
2026-08-09,Chicago Cubs,16.2
2026-08-09,Arizona Diamondbacks,15.7
2026-08-09,Los Angeles Angels,15.7
2026-08-09,Washington Nationals,5.3
2026-08-09,Baltimore Orioles,-1.2
