as_of_date,rank,team,pitcher,rating,opponent
2026-08-24,1,Philadelphia Phillies,Zack Wheeler,1634.3,Seattle Mariners
2026-08-24,2,Seattle Mariners,Logan Gilbert,1611.1,Philadelphia Phillies
2026-08-24,3,Detroit Tigers,Framber Valdez,1570.7,Tampa Bay Rays
2026-08-24,4,Boston Red Sox,Ranger Suarez,1568.0,Miami Marlins
2026-08-24,5,Miami Marlins,Sandy Alcantara,1564.9,Boston Red Sox
2026-08-24,6,Tampa Bay Rays,Drew Rasmussen,1564.6,Detroit Tigers
2026-08-24,7,San Diego Padres,Robbie Ray,1559.8,Pittsburgh Pirates
2026-08-24,8,Chicago Cubs,Kevin Gausman,1557.4,Arizona Diamondbacks
2026-08-24,9,Arizona Diamondbacks,Merrill Kelly,1541.9,Chicago Cubs
2026-08-24,10,Cleveland Guardians,Parker Messick,1533.1,Los Angeles Angels
2026-08-24,11,Cincinnati Reds,Chase Burns,1524.3,San Francisco Giants
2026-08-24,12,Chicago White Sox,José Urquidy,1521.1,Texas Rangers
2026-08-24,13,Pittsburgh Pirates,Braxton Ashcraft,1521.1,San Diego Padres
2026-08-24,14,Los Angeles Angels,George Klassen,1502.9,Cleveland Guardians
2026-08-24,15,San Francisco Giants,Carson Whisenhunt,1499.8,Cincinnati Reds
2026-08-24,16,Washington Nationals,Cade Cavalli,1494.4,Colorado Rockies
2026-08-24,17,Athletics,Jeffrey Springs,1473.6,Minnesota Twins
2026-08-24,18,Texas Rangers,Kumar Rocker,1473.2,Chicago White Sox
2026-08-24,19,Minnesota Twins,Zebby Matthews,1472.8,Athletics
2026-08-24,20,Colorado Rockies,Ryan Feltner,1442.9,Washington Nationals
