as_of_date,rank,team,pitcher,rating,opponent
2026-08-08,1,Atlanta Braves,Chris Sale,1613.2,New York Yankees
2026-08-08,2,New York Yankees,Gerrit Cole,1604.0,Atlanta Braves
2026-08-08,3,Texas Rangers,Jacob deGrom,1585.3,Baltimore Orioles
2026-08-08,4,Los Angeles Dodgers,Yoshinobu Yamamoto,1567.5,Arizona Diamondbacks
2026-08-08,5,Baltimore Orioles,Kyle Bradish,1565.6,Texas Rangers
2026-08-08,6,Seattle Mariners,George Kirby,1562.9,Tampa Bay Rays
2026-08-08,7,Miami Marlins,Sandy Alcantara,1555.6,Los Angeles Angels
2026-08-08,8,Cleveland Guardians,Gavin Williams,1544.9,Chicago White Sox
2026-08-08,9,Toronto Blue Jays,Max Scherzer,1544.7,Philadelphia Phillies
2026-08-08,10,San Diego Padres,Michael King,1538.5,Houston Astros
2026-08-08,11,Chicago Cubs,Clay Holmes,1529.7,Kansas City Royals
2026-08-08,12,Cincinnati Reds,Chase Burns,1526.6,Washington Nationals
2026-08-08,13,Los Angeles Angels,Walbert Ureña,1521.8,Miami Marlins
2026-08-08,14,Chicago White Sox,Anthony Kay,1519.8,Cleveland Guardians
2026-08-08,15,Boston Red Sox,Jake Bennett,1518.1,Athletics
2026-08-08,16,San Francisco Giants,Landen Roupp,1517.0,Detroit Tigers
2026-08-08,17,Houston Astros,Peter Lambert,1510.1,San Diego Padres
2026-08-08,18,Kansas City Royals,Seth Lugo,1509.8,Chicago Cubs
2026-08-08,19,Detroit Tigers,Jackson Jobe,1509.4,San Francisco Giants
2026-08-08,20,New York Mets,Robert Stock,1506.7,Pittsburgh Pirates
2026-08-08,21,Pittsburgh Pirates,Bubba Chandler,1504.9,New York Mets
2026-08-08,22,Washington Nationals,Andrew Alvarez,1504.4,Cincinnati Reds
2026-08-08,23,Milwaukee Brewers,Robert Gasser,1501.6,Minnesota Twins
2026-08-08,24,Philadelphia Phillies,Aaron Nola,1494.9,Toronto Blue Jays
2026-08-08,25,Tampa Bay Rays,Griffin Jax,1488.8,Seattle Mariners
2026-08-08,26,Minnesota Twins,Taj Bradley,1487.9,Milwaukee Brewers
2026-08-08,27,Arizona Diamondbacks,Brandon Pfaadt,1486.4,Los Angeles Dodgers
2026-08-08,28,Athletics,Gage Jump,1484.4,Boston Red Sox
2026-08-08,29,St. Louis Cardinals,Matthew Liberatore,1482.1,Colorado Rockies
2026-08-08,30,Colorado Rockies,Kyle Freeland,1415.2,St. Louis Cardinals
