as_of_date,rank,team,elo_rating,anticipated_win_pct
2026-08-13,1,Chicago Cubs,1556.4,58.1
2026-08-13,2,Milwaukee Brewers,1552.7,57.6
2026-08-13,3,Boston Red Sox,1544.1,56.4
2026-08-13,4,Atlanta Braves,1534.5,55.0
2026-08-13,5,Tampa Bay Rays,1531.7,54.6
2026-08-13,6,Los Angeles Dodgers,1528.4,54.1
2026-08-13,7,New York Yankees,1527.7,54.0
2026-08-13,8,Arizona Diamondbacks,1522.0,53.2
2026-08-13,9,Detroit Tigers,1514.1,52.1
2026-08-13,10,San Diego Padres,1512.3,51.8
2026-08-13,11,Chicago White Sox,1510.6,51.6
2026-08-13,12,Houston Astros,1509.3,51.4
2026-08-13,13,Miami Marlins,1504.5,50.7
2026-08-13,14,Baltimore Orioles,1504.0,50.6
2026-08-13,15,Philadelphia Phillies,1500.3,50.1
2026-08-13,16,Washington Nationals,1496.3,49.5
2026-08-13,17,St. Louis Cardinals,1496.3,49.5
2026-08-13,18,Pittsburgh Pirates,1493.4,49.1
2026-08-13,19,Texas Rangers,1491.8,48.9
2026-08-13,20,Cleveland Guardians,1490.2,48.6
2026-08-13,21,Minnesota Twins,1490.0,48.6
2026-08-13,22,Toronto Blue Jays,1487.2,48.2
2026-08-13,23,Cincinnati Reds,1486.1,48.1
2026-08-13,24,New York Mets,1485.5,48.0
2026-08-13,25,Seattle Mariners,1465.1,45.0
2026-08-13,26,Kansas City Royals,1455.0,43.6
2026-08-13,27,San Francisco Giants,1454.2,43.5
2026-08-13,28,Los Angeles Angels,1452.3,43.2
2026-08-13,29,Colorado Rockies,1452.2,43.2
2026-08-13,30,Athletics,1440.8,41.6
