as_of_date,rank,team,elo_rating,anticipated_win_pct
2026-09-09,1,Milwaukee Brewers,1561.2,58.4
2026-09-09,2,Boston Red Sox,1547.9,56.6
2026-09-09,3,Chicago Cubs,1536.5,54.9
2026-09-09,4,Philadelphia Phillies,1531.4,54.2
2026-09-09,5,Atlanta Braves,1531.0,54.2
2026-09-09,6,New York Yankees,1529.5,53.9
2026-09-09,7,Los Angeles Dodgers,1529.4,53.9
2026-09-09,8,Arizona Diamondbacks,1527.0,53.6
2026-09-09,9,Tampa Bay Rays,1518.6,52.4
2026-09-09,10,San Diego Padres,1515.0,51.9
2026-09-09,11,Baltimore Orioles,1513.5,51.6
2026-09-09,12,Chicago White Sox,1511.8,51.4
2026-09-09,13,Toronto Blue Jays,1511.7,51.4
2026-09-09,14,Pittsburgh Pirates,1509.6,51.1
2026-09-09,15,Miami Marlins,1507.3,50.7
2026-09-09,16,Houston Astros,1504.0,50.3
2026-09-09,17,New York Mets,1503.1,50.1
2026-09-09,18,St. Louis Cardinals,1499.5,49.6
2026-09-09,19,Cleveland Guardians,1494.6,48.9
2026-09-09,20,Texas Rangers,1491.4,48.5
2026-09-09,21,Minnesota Twins,1486.6,47.8
2026-09-09,22,Kansas City Royals,1486.5,47.8
2026-09-09,23,Cincinnati Reds,1485.8,47.7
2026-09-09,24,Washington Nationals,1485.7,47.6
2026-09-09,25,Detroit Tigers,1480.6,46.9
2026-09-09,26,Seattle Mariners,1472.4,45.7
2026-09-09,27,Los Angeles Angels,1457.0,43.5
2026-09-09,28,San Francisco Giants,1447.7,42.2
2026-09-09,29,Athletics,1443.3,41.6
2026-09-09,30,Colorado Rockies,1443.2,41.6
