as_of_date,rank,team,pitcher,rating,opponent
2026-08-07,1,Philadelphia Phillies,Zack Wheeler,1636.9,Toronto Blue Jays
2026-08-07,2,New York Yankees,Max Fried,1622.8,Atlanta Braves
2026-08-07,3,Seattle Mariners,Logan Gilbert,1602.1,Tampa Bay Rays
2026-08-07,4,Tampa Bay Rays,Drew Rasmussen,1560.5,Seattle Mariners
2026-08-07,5,San Diego Padres,Robbie Ray,1555.9,Houston Astros
2026-08-07,6,Texas Rangers,Nathan Eovaldi,1555.4,Baltimore Orioles
2026-08-07,7,Arizona Diamondbacks,Merrill Kelly,1545.3,Los Angeles Dodgers
2026-08-07,8,Detroit Tigers,Keider Montero,1530.7,San Francisco Giants
2026-08-07,9,Baltimore Orioles,Shane Baz,1529.4,Texas Rangers
2026-08-07,10,Cleveland Guardians,Parker Messick,1527.1,Chicago White Sox
2026-08-07,11,Houston Astros,Ronel Blanco,1523.7,San Diego Padres
2026-08-07,12,Pittsburgh Pirates,Carmen Mlodzinski,1514.7,New York Mets
2026-08-07,13,St. Louis Cardinals,Kyle Leahy,1511.9,Colorado Rockies
2026-08-07,14,Atlanta Braves,Tyler Mahle,1509.3,New York Yankees
2026-08-07,15,Boston Red Sox,Payton Tolle,1508.0,Athletics
2026-08-07,16,New York Mets,Zac Thornton,1506.9,Pittsburgh Pirates
2026-08-07,17,Miami Marlins,Tyler Phillips,1506.6,Los Angeles Angels
2026-08-07,18,Milwaukee Brewers,Shane Drohan,1499.4,Minnesota Twins
2026-08-07,19,Los Angeles Angels,George Klassen,1495.9,Miami Marlins
2026-08-07,20,Los Angeles Dodgers,Roki Sasaki,1494.0,Arizona Diamondbacks
2026-08-07,21,Athletics,Jack Perkins,1486.7,Boston Red Sox
2026-08-07,22,Washington Nationals,Cade Cavalli,1481.1,Cincinnati Reds
2026-08-07,23,Toronto Blue Jays,José Soriano,1480.5,Philadelphia Phillies
2026-08-07,24,Chicago White Sox,Noah Schultz,1476.3,Cleveland Guardians
2026-08-07,25,Colorado Rockies,Ryan Feltner,1438.3,St. Louis Cardinals
