as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-08-01,822781,Toronto Blue Jays,1491.3,St. Louis Cardinals,1489.9,1.4,53.6
2026-08-01,822944,Tampa Bay Rays,1523.5,Chicago White Sox,1519.1,4.4,55.6
2026-08-01,823109,Seattle Mariners,1507.2,Minnesota Twins,1489.8,17.4,56.5
2026-08-01,823269,San Diego Padres,1510.4,San Francisco Giants,1476.4,34.0,58.5
2026-08-01,823594,New York Mets,1480.7,Miami Marlins,1514.3,-33.6,49.0
2026-08-01,823920,Los Angeles Dodgers,1562.1,Boston Red Sox,1561.8,0.3,56.3
2026-08-01,824000,Los Angeles Angels,1455.6,Milwaukee Brewers,1571.7,-116.1,35.9
2026-08-01,824162,Houston Astros,1503.0,Texas Rangers,1508.5,-5.5,54.5
2026-08-01,824326,Colorado Rockies,1430.8,Kansas City Royals,1470.6,-39.8,48.6
2026-08-01,824405,Cleveland Guardians,1519.7,Arizona Diamondbacks,1526.4,-6.7,52.0
2026-08-01,824485,Cincinnati Reds,1497.1,Pittsburgh Pirates,1515.0,-17.9,50.0
2026-08-01,824649,Chicago Cubs,1553.6,New York Yankees,1544.2,9.4,53.7
2026-08-01,824808,Baltimore Orioles,1522.0,Philadelphia Phillies,1521.0,1.0,50.0
2026-08-01,824890,Atlanta Braves,1534.6,Washington Nationals,1503.7,30.9,57.3
2026-08-01,824972,Athletics,1444.6,Detroit Tigers,1517.1,-72.5,42.5
