as_of_date,rank,team,pitcher,rating,opponent
2026-08-13,1,New York Yankees,Max Fried,1626.0,Seattle Mariners
2026-08-13,2,Seattle Mariners,Logan Gilbert,1604.9,New York Yankees
2026-08-13,3,Texas Rangers,Jacob deGrom,1584.4,Los Angeles Angels
2026-08-13,4,Chicago Cubs,Kevin Gausman,1557.9,Washington Nationals
2026-08-13,5,Cincinnati Reds,Andrew Abbott,1554.7,Chicago White Sox
2026-08-13,6,Toronto Blue Jays,Max Scherzer,1540.1,Boston Red Sox
2026-08-13,7,Cleveland Guardians,Parker Messick,1534.2,Detroit Tigers
2026-08-13,8,Detroit Tigers,Keider Montero,1532.8,Cleveland Guardians
2026-08-13,9,Pittsburgh Pirates,Braxton Ashcraft,1518.5,Miami Marlins
2026-08-13,10,Los Angeles Angels,Walbert Ureña,1515.4,Texas Rangers
2026-08-13,11,Miami Marlins,Tyler Phillips,1509.8,Pittsburgh Pirates
2026-08-13,12,Boston Red Sox,Payton Tolle,1509.4,Toronto Blue Jays
2026-08-13,13,Chicago White Sox,Davis Martin,1496.5,Cincinnati Reds
2026-08-13,14,Milwaukee Brewers,Shane Drohan,1495.9,Los Angeles Dodgers
2026-08-13,15,Los Angeles Dodgers,Roki Sasaki,1495.0,Milwaukee Brewers
2026-08-13,16,Philadelphia Phillies,Aaron Nola,1488.5,Minnesota Twins
2026-08-13,17,Minnesota Twins,Taj Bradley,1484.2,Philadelphia Phillies
2026-08-13,18,Washington Nationals,Cade Cavalli,1482.4,Chicago Cubs
