as_of_date,rank,team,pitcher,rating,opponent
2026-09-04,1,New York Yankees,Max Fried,1631.9,San Diego Padres
2026-09-04,2,Atlanta Braves,Chris Sale,1626.3,Philadelphia Phillies
2026-09-04,3,Seattle Mariners,Logan Gilbert,1611.8,Athletics
2026-09-04,4,Los Angeles Dodgers,Blake Snell,1587.1,Washington Nationals
2026-09-04,5,Philadelphia Phillies,Cristopher Sánchez,1583.3,Atlanta Braves
2026-09-04,6,Chicago Cubs,Shota Imanaga,1566.4,Miami Marlins
2026-09-04,7,Boston Red Sox,Ranger Suarez,1560.7,Baltimore Orioles
2026-09-04,8,Tampa Bay Rays,Nick Martinez,1559.4,Texas Rangers
2026-09-04,9,Toronto Blue Jays,Jameson Taillon,1553.1,Kansas City Royals
2026-09-04,10,Arizona Diamondbacks,Merrill Kelly,1546.8,Houston Astros
2026-09-04,11,San Diego Padres,Walker Buehler,1537.6,New York Yankees
2026-09-04,12,Baltimore Orioles,Shane Baz,1537.5,Boston Red Sox
2026-09-04,13,Detroit Tigers,Keider Montero,1535.6,Cleveland Guardians
2026-09-04,14,St. Louis Cardinals,Andre Pallante,1532.9,Colorado Rockies
2026-09-04,15,New York Mets,Nolan McLean,1530.3,San Francisco Giants
2026-09-04,16,Los Angeles Angels,Ryan Johnson,1508.7,Pittsburgh Pirates
2026-09-04,17,Miami Marlins,Janson Junk,1508.5,Chicago Cubs
2026-09-04,18,San Francisco Giants,Matt Wilkinson,1506.9,New York Mets
2026-09-04,19,Kansas City Royals,Daniel Lynch IV,1502.9,Toronto Blue Jays
2026-09-04,20,Milwaukee Brewers,Shane Drohan,1502.8,Cincinnati Reds
2026-09-04,21,Cleveland Guardians,Foster Griffin,1500.8,Detroit Tigers
2026-09-04,22,Cincinnati Reds,Rhett Lowder,1499.6,Milwaukee Brewers
2026-09-04,23,Pittsburgh Pirates,Jared Jones,1495.7,Los Angeles Angels
2026-09-04,24,Washington Nationals,Jackson Kent,1495.1,Los Angeles Dodgers
2026-09-04,25,Houston Astros,Cristian Javier,1494.7,Arizona Diamondbacks
2026-09-04,26,Athletics,Kade Morris,1491.9,Seattle Mariners
2026-09-04,27,Texas Rangers,Trevor Williams,1483.3,Tampa Bay Rays
2026-09-04,28,Chicago White Sox,Erick Fedde,1478.2,Minnesota Twins
2026-09-04,29,Minnesota Twins,Zebby Matthews,1477.9,Chicago White Sox
2026-09-04,30,Cleveland Guardians,Logan Allen,1473.8,Detroit Tigers
2026-09-04,31,Colorado Rockies,Ryan Feltner,1435.1,St. Louis Cardinals
2026-09-04,32,Detroit Tigers,Andrew Sears,,Cleveland Guardians
