as_of_date,rank,team,pitcher,rating,opponent
2026-08-16,1,Los Angeles Dodgers,Tarik Skubal,1606.1,Milwaukee Brewers
2026-08-16,2,Toronto Blue Jays,Dylan Cease,1570.4,New York Yankees
2026-08-16,3,Cleveland Guardians,Tanner Bibee,1569.9,San Diego Padres
2026-08-16,4,Tampa Bay Rays,Freddy Peralta,1555.8,Baltimore Orioles
2026-08-16,5,Seattle Mariners,Bryan Woo,1539.4,Houston Astros
2026-08-16,6,Houston Astros,Hunter Brown,1539.0,Seattle Mariners
2026-08-16,7,Milwaukee Brewers,Logan Henderson,1526.1,Los Angeles Dodgers
2026-08-16,8,San Diego Padres,Casey Mize,1524.1,Cleveland Guardians
2026-08-16,9,Cincinnati Reds,Nick Lodolo,1521.1,Miami Marlins
2026-08-16,10,Atlanta Braves,Bryce Elder,1518.6,Arizona Diamondbacks
2026-08-16,11,Chicago White Sox,Sean Burke,1515.4,Detroit Tigers
2026-08-16,12,New York Mets,Christian Scott,1509.2,Washington Nationals
2026-08-16,13,Pittsburgh Pirates,Lake Bachar,1508.4,Boston Red Sox
2026-08-16,14,St. Louis Cardinals,Hunter Dobbins,1507.4,Chicago Cubs
2026-08-16,15,Miami Marlins,Eury Pérez,1506.3,Cincinnati Reds
2026-08-16,16,New York Yankees,Ryan Weathers,1504.4,Toronto Blue Jays
2026-08-16,17,Texas Rangers,Cody Bradford,1503.4,Athletics
2026-08-16,18,Los Angeles Angels,Ryan Johnson,1502.3,Kansas City Royals
2026-08-16,19,Baltimore Orioles,Trevor Rogers,1499.1,Tampa Bay Rays
2026-08-16,20,Kansas City Royals,Noah Cameron,1498.9,Los Angeles Angels
2026-08-16,21,Detroit Tigers,Drew Anderson,1496.6,Chicago White Sox
2026-08-16,22,San Francisco Giants,Blade Tidwell,1495.8,Colorado Rockies
2026-08-16,23,Minnesota Twins,Dean Kremer,1495.1,Philadelphia Phillies
2026-08-16,24,Colorado Rockies,Gabriel Hughes,1493.0,San Francisco Giants
2026-08-16,25,Boston Red Sox,Patrick Sandoval,1484.2,Pittsburgh Pirates
2026-08-16,26,Chicago Cubs,Edward Cabrera,1482.8,St. Louis Cardinals
2026-08-16,27,Philadelphia Phillies,Andrew Painter,1481.7,Minnesota Twins
2026-08-16,28,Athletics,Jacob Lopez,1477.5,Texas Rangers
2026-08-16,29,Washington Nationals,Jake Irvin,1465.0,New York Mets
2026-08-16,30,Arizona Diamondbacks,Michael Soroka,1461.8,Atlanta Braves
