as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-08-24,822695,Washington Nationals,1485.0,Colorado Rockies,1441.9,43.1,56.9
2026-08-24,823097,Seattle Mariners,1490.2,Philadelphia Phillies,1532.2,-42.0,47.9
2026-08-24,823183,San Francisco Giants,1454.6,Cincinnati Reds,1487.3,-32.7,50.3
2026-08-24,823260,San Diego Padres,1531.8,Pittsburgh Pirates,1507.5,24.3,57.1
2026-08-24,823828,Miami Marlins,1512.3,Boston Red Sox,1560.2,-47.9,46.2
2026-08-24,823992,Los Angeles Angels,1458.6,Cleveland Guardians,1510.6,-52.0,44.8
2026-08-24,824235,Detroit Tigers,1512.4,Tampa Bay Rays,1528.9,-16.5,50.5
2026-08-24,824557,Chicago White Sox,1517.7,Texas Rangers,1490.2,27.5,58.7
2026-08-24,824964,Athletics,1426.2,Minnesota Twins,1479.3,-53.1,45.3
2026-08-24,825041,Arizona Diamondbacks,1523.8,Chicago Cubs,1555.6,-31.8,47.7
