as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-09-16,822680,Washington Nationals,1478.1,Philadelphia Phillies,1542.3,-64.2,41.6
2026-09-16,822763,Toronto Blue Jays,1521.0,Detroit Tigers,1518.8,2.2,53.7
2026-09-16,822846,Texas Rangers,1497.2,Boston Red Sox,1556.0,-58.8,44.8
2026-09-16,822926,Tampa Bay Rays,1537.6,Athletics,1436.2,101.4,68.7
2026-09-16,823004,St. Louis Cardinals,1494.4,San Francisco Giants,1470.6,23.8,56.3
2026-09-16,823332,Pittsburgh Pirates,1523.0,Milwaukee Brewers,1583.7,-60.7,43.8
2026-09-16,823576,New York Mets,1516.5,Baltimore Orioles,1517.9,-1.4,53.6
2026-09-16,823655,Minnesota Twins,1474.2,New York Yankees,1561.7,-87.5,41.4
2026-09-16,823979,Los Angeles Angels,1450.1,Seattle Mariners,1477.6,-27.5,48.3
2026-09-16,824140,Houston Astros,1497.0,Kansas City Royals,1485.2,11.8,56.9
2026-09-16,824306,Colorado Rockies,1415.4,San Diego Padres,1537.7,-122.3,37.0
2026-09-16,824382,Cleveland Guardians,1513.1,Chicago White Sox,1504.9,8.2,54.1
2026-09-16,824467,Cincinnati Reds,1482.0,Los Angeles Dodgers,1552.4,-70.4,42.5
2026-09-16,824626,Chicago Cubs,1547.2,Atlanta Braves,1548.1,-0.9,52.2
2026-09-16,825031,Arizona Diamondbacks,1527.3,Miami Marlins,1505.7,21.6,55.3
