as_of_date,rank,team,pitcher,rating,opponent
2026-08-19,1,Seattle Mariners,Logan Gilbert,1609.8,Milwaukee Brewers
2026-08-19,2,Pittsburgh Pirates,Paul Skenes,1563.0,Detroit Tigers
2026-08-19,3,Tampa Bay Rays,Drew Rasmussen,1561.9,Toronto Blue Jays
2026-08-19,4,Miami Marlins,Sandy Alcantara,1558.5,Philadelphia Phillies
2026-08-19,5,Toronto Blue Jays,Max Scherzer,1538.9,Tampa Bay Rays
2026-08-19,6,San Diego Padres,Michael King,1535.8,New York Mets
2026-08-19,7,Cleveland Guardians,Parker Messick,1531.4,San Francisco Giants
2026-08-19,8,Chicago Cubs,Clay Holmes,1528.4,Chicago White Sox
2026-08-19,9,Cincinnati Reds,Chase Burns,1523.6,St. Louis Cardinals
2026-08-19,10,Los Angeles Angels,Walbert Ureña,1519.3,Houston Astros
2026-08-19,11,Baltimore Orioles,Chris Bassitt,1517.5,New York Yankees
2026-08-19,12,Boston Red Sox,Payton Tolle,1513.5,Arizona Diamondbacks
2026-08-19,13,Milwaukee Brewers,Dustin May,1513.4,Seattle Mariners
2026-08-19,14,Detroit Tigers,Jackson Jobe,1509.6,Pittsburgh Pirates
2026-08-19,15,Atlanta Braves,AJ Smith-Shawver,1506.4,Minnesota Twins
2026-08-19,16,New York Mets,Robert Stock,1501.8,San Diego Padres
2026-08-19,17,Los Angeles Dodgers,Roki Sasaki,1496.0,Colorado Rockies
2026-08-19,18,Arizona Diamondbacks,Brandon Pfaadt,1494.6,Boston Red Sox
2026-08-19,19,Philadelphia Phillies,Aaron Nola,1491.5,Miami Marlins
2026-08-19,20,Washington Nationals,Cade Cavalli,1488.0,Texas Rangers
2026-08-19,21,Chicago White Sox,Sean Newcomb,1484.5,Chicago Cubs
2026-08-19,22,Minnesota Twins,Taj Bradley,1481.9,Atlanta Braves
2026-08-19,23,St. Louis Cardinals,Matthew Liberatore,1477.5,Cincinnati Reds
2026-08-19,24,Texas Rangers,Kumar Rocker,1474.7,Washington Nationals
2026-08-19,25,New York Yankees,Will Warren,1463.0,Baltimore Orioles
2026-08-19,26,Colorado Rockies,Kyle Freeland,1410.6,Los Angeles Dodgers
2026-08-19,27,Houston Astros,Ethan Pecko,,Los Angeles Angels
2026-08-19,28,San Francisco Giants,Matt Wilkinson,,Cleveland Guardians
