as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-07-10,822709,Washington Nationals,1509.5,New York Yankees,1533.9,-24.4,47.3
2026-07-10,822878,Texas Rangers,1516.3,Houston Astros,1495.0,21.3,56.2
2026-07-10,822955,Tampa Bay Rays,1525.5,Seattle Mariners,1521.6,3.9,55.6
2026-07-10,823033,St. Louis Cardinals,1517.4,Atlanta Braves,1538.3,-20.9,49.9
2026-07-10,823200,San Francisco Giants,1473.4,Colorado Rockies,1440.7,32.7,59.6
2026-07-10,823278,San Diego Padres,1502.7,Toronto Blue Jays,1501.5,1.2,53.9
2026-07-10,823357,Pittsburgh Pirates,1512.6,Milwaukee Brewers,1585.8,-73.2,42.1
2026-07-10,823604,New York Mets,1477.4,Boston Red Sox,1535.0,-57.6,45.5
2026-07-10,823685,Minnesota Twins,1484.5,Los Angeles Angels,1455.6,28.9,58.0
2026-07-10,823845,Miami Marlins,1530.0,Cleveland Guardians,1523.6,6.4,54.0
2026-07-10,823927,Los Angeles Dodgers,1570.5,Arizona Diamondbacks,1498.3,72.2,66.1
2026-07-10,824252,Detroit Tigers,1504.9,Philadelphia Phillies,1541.9,-37.0,47.5
2026-07-10,824493,Cincinnati Reds,1495.1,Chicago Cubs,1543.1,-48.0,45.7
2026-07-10,824575,Chicago White Sox,1507.3,Athletics,1465.2,42.1,60.7
2026-07-10,824817,Baltimore Orioles,1508.1,Kansas City Royals,1475.6,32.5,54.5
