as_of_date,rank,team,pitcher,rating,opponent
2026-09-13,1,San Francisco Giants,Logan Webb,1585.2,San Diego Padres
2026-09-13,2,Toronto Blue Jays,Dylan Cease,1577.9,Baltimore Orioles
2026-09-13,3,Cleveland Guardians,Tanner Bibee,1566.4,Minnesota Twins
2026-09-13,4,Tampa Bay Rays,Freddy Peralta,1566.1,Houston Astros
2026-09-13,5,San Diego Padres,Nick Pivetta,1548.0,San Francisco Giants
2026-09-13,6,New York Yankees,Cam Schlittler,1543.0,New York Mets
2026-09-13,7,Arizona Diamondbacks,Eduardo Rodriguez,1528.3,Texas Rangers
2026-09-13,8,Atlanta Braves,Grant Holmes,1526.2,Philadelphia Phillies
2026-09-13,9,Cincinnati Reds,Chase Burns,1525.6,Milwaukee Brewers
2026-09-13,10,Chicago Cubs,Matthew Boyd,1519.2,Pittsburgh Pirates
2026-09-13,11,Boston Red Sox,Payton Tolle,1516.3,Kansas City Royals
2026-09-13,12,New York Mets,Christian Scott,1514.5,New York Yankees
2026-09-13,13,Pittsburgh Pirates,Bubba Chandler,1511.3,Chicago Cubs
2026-09-13,14,Minnesota Twins,Joe Ryan,1508.2,Cleveland Guardians
2026-09-13,15,Detroit Tigers,Jackson Jobe,1505.7,Colorado Rockies
2026-09-13,16,Milwaukee Brewers,Robert Gasser,1504.6,Cincinnati Reds
2026-09-13,17,Kansas City Royals,Noah Cameron,1504.1,Boston Red Sox
2026-09-13,18,Chicago White Sox,David Sandlin,1500.7,St. Louis Cardinals
2026-09-13,19,Miami Marlins,Eury Pérez,1499.2,Los Angeles Dodgers
2026-09-13,20,Washington Nationals,Riley Cornelio,1498.4,Los Angeles Angels
2026-09-13,21,St. Louis Cardinals,Michael McGreevy,1495.0,Chicago White Sox
2026-09-13,22,Houston Astros,Hayden Wesneski,1494.7,Tampa Bay Rays
2026-09-13,23,Baltimore Orioles,Trevor Rogers,1492.8,Toronto Blue Jays
2026-09-13,24,Philadelphia Phillies,Andrew Painter,1487.2,Atlanta Braves
2026-09-13,25,Los Angeles Dodgers,Emmet Sheehan,1485.5,Miami Marlins
2026-09-13,26,Texas Rangers,Cal Quantrill,1485.3,Arizona Diamondbacks
2026-09-13,27,Colorado Rockies,Gabriel Hughes,1483.5,Detroit Tigers
2026-09-13,28,Athletics,Jacob Lopez,1478.3,Seattle Mariners
2026-09-13,29,Seattle Mariners,Bryce Miller,1477.7,Athletics
2026-09-13,30,Los Angeles Angels,Grayson Rodriguez,1474.5,Washington Nationals
