as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-07-25,822704,Washington Nationals,1505.2,Arizona Diamondbacks,1522.4,-17.2,48.3
2026-07-25,822869,Texas Rangers,1506.6,Seattle Mariners,1510.3,-3.7,52.7
2026-07-25,822948,Tampa Bay Rays,1521.5,Cleveland Guardians,1519.1,2.4,55.3
2026-07-25,823027,St. Louis Cardinals,1506.8,Cincinnati Reds,1496.9,9.9,54.3
2026-07-25,823197,San Francisco Giants,1466.3,Los Angeles Angels,1455.8,10.5,56.5
2026-07-25,823355,Pittsburgh Pirates,1525.9,Chicago Cubs,1544.2,-18.3,49.9
2026-07-25,823435,Philadelphia Phillies,1541.8,New York Yankees,1540.2,1.6,54.5
2026-07-25,823600,New York Mets,1479.6,Los Angeles Dodgers,1564.7,-85.1,41.6
2026-07-25,823679,Minnesota Twins,1487.2,Athletics,1450.3,36.9,59.1
2026-07-25,823758,Milwaukee Brewers,1572.0,Colorado Rockies,1438.4,133.6,70.5
2026-07-25,823841,Miami Marlins,1512.8,San Diego Padres,1504.0,8.8,54.3
2026-07-25,824244,Detroit Tigers,1517.3,Kansas City Royals,1469.9,47.4,59.6
2026-07-25,824571,Chicago White Sox,1514.1,Houston Astros,1495.2,18.9,57.5
2026-07-25,824734,Boston Red Sox,1543.0,Toronto Blue Jays,1483.3,59.7,61.1
2026-07-25,824811,Baltimore Orioles,1523.0,Atlanta Braves,1540.8,-17.8,47.3
