as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-08-25,822693,Washington Nationals,1485.0,Colorado Rockies,1422.0,63.0,59.7
2026-08-25,822773,Toronto Blue Jays,1515.5,Kansas City Royals,1487.2,28.3,57.4
2026-08-25,823016,St. Louis Cardinals,1505.8,Baltimore Orioles,1520.6,-14.8,50.8
2026-08-25,823098,Seattle Mariners,1490.8,Philadelphia Phillies,1542.3,-51.5,46.6
2026-08-25,823181,San Francisco Giants,1454.7,Cincinnati Reds,1483.5,-28.8,50.8
2026-08-25,823259,San Diego Padres,1532.0,Pittsburgh Pirates,1511.2,20.8,56.7
2026-08-25,823505,New York Yankees,1548.5,Houston Astros,1491.1,57.4,62.6
2026-08-25,823585,New York Mets,1505.8,Milwaukee Brewers,1578.0,-72.2,43.5
2026-08-25,823826,Miami Marlins,1512.9,Boston Red Sox,1573.2,-60.3,44.4
2026-08-25,823989,Los Angeles Angels,1458.6,Cleveland Guardians,1513.2,-54.6,44.4
2026-08-25,824233,Detroit Tigers,1512.6,Tampa Bay Rays,1534.7,-22.1,49.7
2026-08-25,824556,Chicago White Sox,1517.8,Texas Rangers,1498.7,19.1,57.5
2026-08-25,824881,Atlanta Braves,1541.1,Los Angeles Dodgers,1552.1,-11.0,51.3
2026-08-25,824962,Athletics,1425.7,Minnesota Twins,1481.8,-56.1,44.9
2026-08-25,825042,Arizona Diamondbacks,1523.9,Chicago Cubs,1559.5,-35.6,47.1
