as_of_date,rank,team,pitcher,rating,opponent
2026-07-21,1,Philadelphia Phillies,Zack Wheeler,1632.3,Los Angeles Dodgers
2026-07-21,2,Detroit Tigers,Framber Valdez,1574.2,Chicago Cubs
2026-07-21,3,Toronto Blue Jays,Kevin Gausman,1562.8,Tampa Bay Rays
2026-07-21,4,Baltimore Orioles,Kyle Bradish,1561.1,Boston Red Sox
2026-07-21,5,Tampa Bay Rays,Drew Rasmussen,1550.0,Toronto Blue Jays
2026-07-21,6,Atlanta Braves,Reynaldo López,1537.0,San Diego Padres
2026-07-21,7,Seattle Mariners,Luis Castillo,1533.5,Cincinnati Reds
2026-07-21,8,Cleveland Guardians,Parker Messick,1527.9,Minnesota Twins
2026-07-21,9,San Diego Padres,Walker Buehler,1524.7,Atlanta Braves
2026-07-21,10,Cincinnati Reds,Chase Burns,1519.2,Seattle Mariners
2026-07-21,11,Los Angeles Angels,Walbert Ureña,1509.9,St. Louis Cardinals
2026-07-21,12,Miami Marlins,Tyler Phillips,1507.8,Houston Astros
2026-07-21,13,Boston Red Sox,Eduardo Rivera,1505.0,Baltimore Orioles
2026-07-21,14,Kansas City Royals,Luinder Avila,1504.6,San Francisco Giants
2026-07-21,15,Los Angeles Dodgers,Justin Wrobleski,1504.5,Philadelphia Phillies
2026-07-21,16,San Francisco Giants,Tyler Mahle,1504.3,Kansas City Royals
2026-07-21,17,Milwaukee Brewers,Brandon Sproat,1503.2,New York Mets
2026-07-21,18,Houston Astros,Tatsuya Imai,1498.3,Miami Marlins
2026-07-21,19,Pittsburgh Pirates,Bubba Chandler,1498.1,New York Yankees
2026-07-21,20,Minnesota Twins,Kendry Rojas,1495.0,Cleveland Guardians
2026-07-21,21,Washington Nationals,Carson Palmquist,1494.4,Colorado Rockies
2026-07-21,22,Chicago Cubs,David Peterson,1489.8,Detroit Tigers
2026-07-21,23,Athletics,Jack Perkins,1489.6,Arizona Diamondbacks
2026-07-21,24,Colorado Rockies,Michael Lorenzen,1489.2,Washington Nationals
2026-07-21,25,Chicago White Sox,Noah Schultz,1485.0,Texas Rangers
2026-07-21,26,Texas Rangers,Kumar Rocker,1481.0,Chicago White Sox
2026-07-21,27,St. Louis Cardinals,Matthew Liberatore,1479.3,Los Angeles Angels
2026-07-21,28,New York Yankees,Will Warren,1463.7,Pittsburgh Pirates
2026-07-21,29,New York Mets,Zac Thornton,,Milwaukee Brewers
2026-07-21,30,Arizona Diamondbacks,Kohl Drake,,Athletics
