as_of_date,rank,team,pitcher,rating,opponent
2026-07-12,1,Philadelphia Phillies,Zack Wheeler,1632.3,Detroit Tigers
2026-07-12,2,Detroit Tigers,Tarik Skubal,1600.8,Philadelphia Phillies
2026-07-12,3,Toronto Blue Jays,Kevin Gausman,1567.4,San Diego Padres
2026-07-12,4,Pittsburgh Pirates,Paul Skenes,1559.2,Milwaukee Brewers
2026-07-12,5,Cincinnati Reds,Andrew Abbott,1558.3,Chicago Cubs
2026-07-12,6,Cleveland Guardians,Joey Cantillo,1534.0,Miami Marlins
2026-07-12,7,Baltimore Orioles,Shane Baz,1528.3,Kansas City Royals
2026-07-12,8,Chicago Cubs,Matthew Boyd,1513.4,Cincinnati Reds
2026-07-12,9,Athletics,J.T. Ginn,1510.1,Chicago White Sox
2026-07-12,10,Kansas City Royals,Seth Lugo,1509.9,Baltimore Orioles
2026-07-12,11,Miami Marlins,Tyler Phillips,1507.8,Cleveland Guardians
2026-07-12,12,St. Louis Cardinals,Dustin May,1507.6,Atlanta Braves
2026-07-12,13,Arizona Diamondbacks,Mitch Bratt,1505.2,Los Angeles Dodgers
2026-07-12,14,San Francisco Giants,Trevor McDonald,1505.1,Colorado Rockies
2026-07-12,15,Boston Red Sox,Payton Tolle,1503.4,New York Mets
2026-07-12,16,Tampa Bay Rays,Ian Seymour,1503.4,Seattle Mariners
2026-07-12,17,Atlanta Braves,Danny Young,1501.8,St. Louis Cardinals
2026-07-12,18,New York Mets,Zach Thornton,1501.6,Boston Red Sox
2026-07-12,19,Los Angeles Dodgers,Emmet Sheehan,1501.2,Arizona Diamondbacks
2026-07-12,20,Houston Astros,Cristian Javier,1496.9,Texas Rangers
2026-07-12,21,Milwaukee Brewers,Robert Gasser,1493.7,Pittsburgh Pirates
2026-07-12,22,Colorado Rockies,Michael Lorenzen,1492.0,San Francisco Giants
2026-07-12,23,Seattle Mariners,Emerson Hancock,1489.0,Tampa Bay Rays
2026-07-12,24,Chicago White Sox,Noah Schultz,1485.0,Athletics
2026-07-12,25,Minnesota Twins,Taj Bradley,1480.6,Los Angeles Angels
2026-07-12,26,Washington Nationals,Cade Cavalli,1479.8,New York Yankees
2026-07-12,27,Texas Rangers,MacKenzie Gore,1478.0,Houston Astros
2026-07-12,28,Los Angeles Angels,José Soriano,1477.7,Minnesota Twins
2026-07-12,29,New York Yankees,Will Warren,1463.7,Washington Nationals
2026-07-12,30,San Diego Padres,Germán Márquez,1463.6,Toronto Blue Jays
