as_of_date,rank,team,pitcher,rating,opponent
2026-09-14,1,Los Angeles Dodgers,Tarik Skubal,1612.9,Cincinnati Reds
2026-09-14,2,Arizona Diamondbacks,Corbin Burnes,1574.4,Miami Marlins
2026-09-14,3,Miami Marlins,Sandy Alcantara,1555.3,Arizona Diamondbacks
2026-09-14,4,Cleveland Guardians,Gavin Williams,1545.4,Chicago White Sox
2026-09-14,5,Atlanta Braves,Reynaldo López,1539.6,Chicago Cubs
2026-09-14,6,Detroit Tigers,Troy Melton,1530.5,Toronto Blue Jays
2026-09-14,7,Colorado Rockies,Tomoyuki Sugano,1524.7,San Diego Padres
2026-09-14,8,San Diego Padres,Casey Mize,1519.3,Colorado Rockies
2026-09-14,9,San Francisco Giants,Landen Roupp,1518.8,St. Louis Cardinals
2026-09-14,10,Cincinnati Reds,Nick Lodolo,1516.4,Los Angeles Dodgers
2026-09-14,11,Baltimore Orioles,Brandon Young,1504.7,New York Mets
2026-09-14,12,St. Louis Cardinals,Quinn Mathews,1504.6,San Francisco Giants
2026-09-14,13,Seattle Mariners,Kade Anderson,1502.9,Los Angeles Angels
2026-09-14,14,Los Angeles Angels,Reid Detmers,1499.5,Seattle Mariners
2026-09-14,15,New York Mets,Jonah Tong,1496.7,Baltimore Orioles
2026-09-14,16,Chicago White Sox,Sean Newcomb,1496.6,Cleveland Guardians
2026-09-14,17,Chicago Cubs,David Peterson,1494.9,Atlanta Braves
2026-09-14,18,Minnesota Twins,Dean Kremer,1489.1,New York Yankees
2026-09-14,19,Toronto Blue Jays,José Soriano,1487.2,Detroit Tigers
2026-09-14,20,New York Yankees,Will Warren,1470.1,Minnesota Twins
