as_of_date,rank,team,pitcher,rating,opponent
2026-08-27,1,Atlanta Braves,Chris Sale,1621.3,Los Angeles Dodgers
2026-08-27,2,New York Yankees,Gerrit Cole,1610.7,Houston Astros
2026-08-27,3,Los Angeles Dodgers,Yoshinobu Yamamoto,1581.5,Atlanta Braves
2026-08-27,4,Milwaukee Brewers,Jacob Misiorowski,1543.9,New York Mets
2026-08-27,5,San Francisco Giants,Landen Roupp,1511.8,Arizona Diamondbacks
2026-08-27,6,Kansas City Royals,Noah Cameron,1505.5,Toronto Blue Jays
2026-08-27,7,Houston Astros,Hayden Wesneski,1498.8,New York Yankees
2026-08-27,8,Baltimore Orioles,Trevor Rogers,1498.5,St. Louis Cardinals
2026-08-27,9,St. Louis Cardinals,Gordon Graceffo,1497.4,Baltimore Orioles
2026-08-27,10,Arizona Diamondbacks,Jose Cabrera,1497.2,San Francisco Giants
2026-08-27,11,Toronto Blue Jays,Spencer Arrighetti,1490.6,Kansas City Royals
2026-08-27,12,Colorado Rockies,Gabriel Hughes,1483.9,Washington Nationals
2026-08-27,13,New York Mets,Sean Manaea,1479.6,Milwaukee Brewers
2026-08-27,14,Washington Nationals,Jake Irvin,1467.6,Colorado Rockies
