as_of_date,rank,team,pitcher,rating,opponent
2026-09-06,1,New York Yankees,Gerrit Cole,1608.1,San Diego Padres
2026-09-06,2,Baltimore Orioles,Kyle Bradish,1561.5,Boston Red Sox
2026-09-06,3,Pittsburgh Pirates,Paul Skenes,1559.7,Los Angeles Angels
2026-09-06,4,San Diego Padres,Michael King,1548.0,New York Yankees
2026-09-06,5,Seattle Mariners,Bryan Woo,1543.6,Athletics
2026-09-06,6,Cleveland Guardians,Gavin Williams,1541.3,Detroit Tigers
2026-09-06,7,Arizona Diamondbacks,Eduardo Rodriguez,1530.9,Houston Astros
2026-09-06,8,Chicago Cubs,Clay Holmes,1528.4,Miami Marlins
2026-09-06,9,Los Angeles Angels,Walbert Ureña,1524.8,Pittsburgh Pirates
2026-09-06,10,Atlanta Braves,Tyler Mahle,1518.6,Philadelphia Phillies
2026-09-06,11,St. Louis Cardinals,Kyle Leahy,1514.9,Colorado Rockies
2026-09-06,12,Kansas City Royals,Randy Dobnak,1513.1,Toronto Blue Jays
2026-09-06,13,Boston Red Sox,Payton Tolle,1512.6,Baltimore Orioles
2026-09-06,14,New York Mets,Christian Scott,1511.4,San Francisco Giants
2026-09-06,15,Chicago White Sox,Bryan Hudson,1510.7,Minnesota Twins
2026-09-06,16,Milwaukee Brewers,Kyle Harrison,1506.3,Cincinnati Reds
2026-09-06,17,Los Angeles Dodgers,Justin Wrobleski,1504.4,Washington Nationals
2026-09-06,18,Detroit Tigers,Jackson Jobe,1504.2,Cleveland Guardians
2026-09-06,19,Washington Nationals,Andrew Alvarez,1502.9,Los Angeles Dodgers
2026-09-06,20,Minnesota Twins,Bailey Ober,1501.5,Chicago White Sox
2026-09-06,21,Miami Marlins,Tyler Phillips,1500.5,Chicago Cubs
2026-09-06,22,San Francisco Giants,Cesar Perdomo,1500.3,New York Mets
2026-09-06,23,Philadelphia Phillies,Aaron Nola,1499.0,Atlanta Braves
2026-09-06,24,Tampa Bay Rays,Ian Seymour,1496.8,Texas Rangers
2026-09-06,25,Houston Astros,Peter Lambert,1491.0,Arizona Diamondbacks
2026-09-06,26,Cincinnati Reds,Brady Singer,1488.3,Milwaukee Brewers
2026-09-06,27,Athletics,Gage Jump,1480.0,Seattle Mariners
2026-09-06,28,Toronto Blue Jays,Spencer Arrighetti,1478.6,Kansas City Royals
2026-09-06,29,Texas Rangers,MacKenzie Gore,1470.8,Tampa Bay Rays
2026-09-06,30,Colorado Rockies,Tanner Gordon,1445.4,St. Louis Cardinals
