as_of_date,rank,team,pitcher,rating,opponent
2026-09-09,1,Philadelphia Phillies,Cristopher Sánchez,1578.7,Houston Astros
2026-09-09,2,Los Angeles Dodgers,Yoshinobu Yamamoto,1577.3,Cincinnati Reds
2026-09-09,3,Chicago Cubs,Kevin Gausman,1566.3,Milwaukee Brewers
2026-09-09,4,Houston Astros,Hunter Brown,1543.9,Philadelphia Phillies
2026-09-09,5,San Diego Padres,Walker Buehler,1540.8,Washington Nationals
2026-09-09,6,Detroit Tigers,Keider Montero,1538.5,Minnesota Twins
2026-09-09,7,Baltimore Orioles,Shane Baz,1536.5,Cleveland Guardians
2026-09-09,8,Milwaukee Brewers,Logan Henderson,1534.2,Chicago Cubs
2026-09-09,9,St. Louis Cardinals,Andre Pallante,1530.3,San Francisco Giants
2026-09-09,10,Colorado Rockies,Tomoyuki Sugano,1520.3,New York Yankees
2026-09-09,11,Toronto Blue Jays,Braydon Fisher,1516.8,Athletics
2026-09-09,12,Arizona Diamondbacks,Zac Gallen,1516.0,Kansas City Royals
2026-09-09,13,Pittsburgh Pirates,Lake Bachar,1513.0,Chicago White Sox
2026-09-09,14,Boston Red Sox,Jake Bennett,1512.0,Los Angeles Angels
2026-09-09,15,Los Angeles Angels,Ryan Johnson,1507.8,Boston Red Sox
2026-09-09,16,New York Mets,Robert Stock,1506.1,Miami Marlins
2026-09-09,17,Miami Marlins,Janson Junk,1503.0,New York Mets
2026-09-09,18,Cleveland Guardians,Foster Griffin,1501.7,Baltimore Orioles
2026-09-09,19,Athletics,Brady Basso,1500.3,Toronto Blue Jays
2026-09-09,20,Seattle Mariners,Kade Anderson,1497.9,Texas Rangers
2026-09-09,21,Washington Nationals,Jackson Kent,1495.2,San Diego Padres
2026-09-09,22,Kansas City Royals,Daniel Lynch IV,1494.6,Arizona Diamondbacks
2026-09-09,23,Chicago White Sox,Davis Martin,1494.2,Pittsburgh Pirates
2026-09-09,24,Texas Rangers,Cody Bradford,1493.6,Seattle Mariners
2026-09-09,25,Cincinnati Reds,Rhett Lowder,1490.4,Los Angeles Dodgers
2026-09-09,26,San Francisco Giants,Blade Tidwell,1485.7,St. Louis Cardinals
2026-09-09,27,Tampa Bay Rays,Griffin Jax,1483.5,Atlanta Braves
2026-09-09,28,Minnesota Twins,Zebby Matthews,1477.8,Detroit Tigers
2026-09-09,29,New York Yankees,Will Warren,1464.9,Colorado Rockies
