as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-09-26,822678,Washington Nationals,1495.1,New York Mets,1507.6,-12.5,49.0
2026-09-26,822759,Toronto Blue Jays,1508.4,Cincinnati Reds,1483.7,24.7,56.9
2026-09-26,823083,Seattle Mariners,1482.0,Los Angeles Angels,1449.7,32.3,58.5
2026-09-26,823165,San Francisco Giants,1465.3,Los Angeles Dodgers,1556.8,-91.5,41.9
2026-09-26,823245,San Diego Padres,1554.6,Arizona Diamondbacks,1531.5,23.1,57.0
2026-09-26,823407,Philadelphia Phillies,1545.6,Tampa Bay Rays,1552.9,-7.3,53.2
2026-09-26,823653,Minnesota Twins,1473.4,Texas Rangers,1498.5,-25.1,50.3
2026-09-26,823733,Milwaukee Brewers,1591.4,St. Louis Cardinals,1484.1,107.3,67.3
2026-09-26,823813,Miami Marlins,1508.9,Atlanta Braves,1547.1,-38.2,47.6
2026-09-26,824057,Kansas City Royals,1478.6,Cleveland Guardians,1527.1,-48.5,45.6
2026-09-26,824219,Detroit Tigers,1506.7,Pittsburgh Pirates,1528.2,-21.5,49.8
2026-09-26,824543,Chicago White Sox,1508.3,Colorado Rockies,1402.6,105.7,69.0
2026-09-26,824949,Athletics,1426.4,Houston Astros,1490.4,-64.0,43.7
