as_of_date,rank,team,pitcher,rating,opponent
2026-09-11,1,Atlanta Braves,Chris Sale,1624.5,Philadelphia Phillies
2026-09-11,2,Boston Red Sox,Sonny Gray,1579.5,Kansas City Royals
2026-09-11,3,New York Yankees,Carlos Rodón,1570.7,New York Mets
2026-09-11,4,Detroit Tigers,Framber Valdez,1570.4,Colorado Rockies
2026-09-11,5,Chicago Cubs,Shota Imanaga,1570.0,Pittsburgh Pirates
2026-09-11,6,Tampa Bay Rays,Drew Rasmussen,1565.7,Houston Astros
2026-09-11,7,San Diego Padres,Robbie Ray,1561.6,San Francisco Giants
2026-09-11,8,Seattle Mariners,George Kirby,1557.3,Athletics
2026-09-11,9,Cincinnati Reds,Andrew Abbott,1546.1,Milwaukee Brewers
2026-09-11,10,Toronto Blue Jays,Max Scherzer,1540.2,Baltimore Orioles
2026-09-11,11,Cleveland Guardians,Parker Messick,1535.4,Minnesota Twins
2026-09-11,12,New York Mets,Nolan McLean,1524.8,New York Yankees
2026-09-11,13,Baltimore Orioles,Chris Bassitt,1519.4,Toronto Blue Jays
2026-09-11,14,Chicago White Sox,Anthony Kay,1515.7,St. Louis Cardinals
2026-09-11,15,Milwaukee Brewers,Dustin May,1509.7,Cincinnati Reds
2026-09-11,16,Pittsburgh Pirates,Wilber Dotel,1505.1,Chicago Cubs
2026-09-11,17,Colorado Rockies,Mason Adams,1503.1,Detroit Tigers
2026-09-11,18,Philadelphia Phillies,Aaron Nola,1499.0,Atlanta Braves
2026-09-11,19,San Francisco Giants,Anthony Molina,1497.3,San Diego Padres
2026-09-11,20,Kansas City Royals,Seth Lugo,1496.6,Boston Red Sox
2026-09-11,21,Washington Nationals,Cade Cavalli,1491.6,Los Angeles Angels
2026-09-11,22,Miami Marlins,Ryan Gusto,1486.1,Los Angeles Dodgers
2026-09-11,23,Minnesota Twins,Taj Bradley,1485.4,Cleveland Guardians
2026-09-11,24,Los Angeles Angels,Yusei Kikuchi,1471.9,Washington Nationals
2026-09-11,25,Athletics,Jeffrey Springs,1467.6,Seattle Mariners
2026-09-11,26,St. Louis Cardinals,Matthew Liberatore,1462.0,Chicago White Sox
2026-09-11,27,Houston Astros,Miguel Ullola,,Tampa Bay Rays
