as_of_date,rank,team,pitcher,rating,opponent
2026-09-07,1,San Francisco Giants,Logan Webb,1584.0,St. Louis Cardinals
2026-09-07,2,Toronto Blue Jays,Dylan Cease,1577.4,Athletics
2026-09-07,3,San Diego Padres,Nick Pivetta,1547.0,Washington Nationals
2026-09-07,4,Philadelphia Phillies,Jesús Luzardo,1544.9,Atlanta Braves
2026-09-07,5,Atlanta Braves,Grant Holmes,1529.8,Philadelphia Phillies
2026-09-07,6,Cincinnati Reds,Chase Burns,1527.7,Los Angeles Dodgers
2026-09-07,7,Detroit Tigers,Troy Melton,1526.1,Minnesota Twins
2026-09-07,8,Cleveland Guardians,Joey Cantillo,1524.8,Baltimore Orioles
2026-09-07,9,Chicago Cubs,Matthew Boyd,1518.4,Milwaukee Brewers
2026-09-07,10,Minnesota Twins,Joe Ryan,1512.6,Detroit Tigers
2026-09-07,11,Milwaukee Brewers,Robert Gasser,1504.8,Chicago Cubs
2026-09-07,12,Kansas City Royals,Noah Cameron,1499.8,Arizona Diamondbacks
2026-09-07,13,Arizona Diamondbacks,Derek Law,1499.3,Kansas City Royals
2026-09-07,14,Miami Marlins,Eury Pérez,1497.9,New York Mets
2026-09-07,15,Boston Red Sox,Brayan Bello,1497.3,Los Angeles Angels
2026-09-07,16,St. Louis Cardinals,Michael McGreevy,1496.3,San Francisco Giants
2026-09-07,17,Baltimore Orioles,Trevor Rogers,1495.9,Cleveland Guardians
2026-09-07,18,New York Mets,Jonah Tong,1492.4,Miami Marlins
2026-09-07,19,Los Angeles Dodgers,Emmet Sheehan,1489.7,Cincinnati Reds
2026-09-07,20,Athletics,Jacob Lopez,1479.8,Toronto Blue Jays
2026-09-07,21,Los Angeles Angels,Grayson Rodriguez,1476.2,Boston Red Sox
2026-09-07,22,Washington Nationals,Jake Irvin,1469.7,San Diego Padres
