as_of_date,rank,team,pitcher,rating,opponent
2026-08-28,1,Los Angeles Dodgers,Tarik Skubal,1602.0,Detroit Tigers
2026-08-28,2,Toronto Blue Jays,Dylan Cease,1570.7,Seattle Mariners
2026-08-28,3,Tampa Bay Rays,Shane McClanahan,1568.2,San Diego Padres
2026-08-28,4,Cleveland Guardians,Tanner Bibee,1565.2,Kansas City Royals
2026-08-28,5,Kansas City Royals,Michael Wacha,1550.9,Cleveland Guardians
2026-08-28,6,Houston Astros,Hunter Brown,1538.1,New York Mets
2026-08-28,7,New York Yankees,Cam Schlittler,1532.9,Boston Red Sox
2026-08-28,8,Milwaukee Brewers,Logan Henderson,1528.0,Texas Rangers
2026-08-28,9,Chicago White Sox,Luis Castillo,1525.5,Minnesota Twins
2026-08-28,10,San Diego Padres,Casey Mize,1523.4,Tampa Bay Rays
2026-08-28,11,Atlanta Braves,Grant Holmes,1522.8,Colorado Rockies
2026-08-28,12,Colorado Rockies,Tomoyuki Sugano,1520.9,Atlanta Braves
2026-08-28,13,New York Mets,Christian Scott,1509.2,Houston Astros
2026-08-28,14,Miami Marlins,Eury Pérez,1508.4,Washington Nationals
2026-08-28,15,Baltimore Orioles,Brandon Young,1505.3,Athletics
2026-08-28,16,Texas Rangers,Cody Bradford,1499.2,Milwaukee Brewers
2026-08-28,17,Detroit Tigers,Drew Anderson,1496.3,Los Angeles Dodgers
2026-08-28,18,Chicago Cubs,David Peterson,1495.9,Cincinnati Reds
2026-08-28,19,Cincinnati Reds,Rhett Lowder,1495.8,Chicago Cubs
2026-08-28,20,St. Louis Cardinals,Quinn Mathews,1495.6,Pittsburgh Pirates
2026-08-28,21,Washington Nationals,Jackson Kent,1492.5,Miami Marlins
2026-08-28,22,Pittsburgh Pirates,Jared Jones,1492.4,St. Louis Cardinals
2026-08-28,23,Los Angeles Angels,Reid Detmers,1492.2,Philadelphia Phillies
2026-08-28,24,Minnesota Twins,Dean Kremer,1490.7,Chicago White Sox
2026-08-28,25,San Francisco Giants,Blade Tidwell,1486.5,Arizona Diamondbacks
2026-08-28,26,Boston Red Sox,Patrick Sandoval,1484.0,New York Yankees
2026-08-28,27,Philadelphia Phillies,Andrew Painter,1483.3,Los Angeles Angels
