as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-08-18,822859,Texas Rangers,1489.9,Washington Nationals,1493.8,-3.9,52.6
2026-08-18,822938,Tampa Bay Rays,1548.2,Toronto Blue Jays,1513.0,35.2,60.0
2026-08-18,823341,Pittsburgh Pirates,1504.0,Detroit Tigers,1527.4,-23.4,49.2
2026-08-18,823423,Philadelphia Phillies,1532.5,Miami Marlins,1519.9,12.6,56.1
2026-08-18,823586,New York Mets,1494.9,San Diego Padres,1533.6,-38.7,48.2
2026-08-18,823667,Minnesota Twins,1484.5,Atlanta Braves,1544.1,-59.6,45.3
2026-08-18,823749,Milwaukee Brewers,1569.5,Seattle Mariners,1496.9,72.6,62.7
2026-08-18,824075,Kansas City Royals,1464.9,Athletics,1427.7,37.2,57.8
2026-08-18,824154,Houston Astros,1508.7,Los Angeles Angels,1446.4,62.3,63.9
2026-08-18,824319,Colorado Rockies,1442.7,Los Angeles Dodgers,1541.0,-98.3,40.3
2026-08-18,824398,Cleveland Guardians,1501.8,San Francisco Giants,1463.9,37.9,58.3
2026-08-18,824475,Cincinnati Reds,1497.5,St. Louis Cardinals,1513.7,-16.2,50.3
2026-08-18,824639,Chicago Cubs,1563.1,Chicago White Sox,1514.9,48.2,59.2
2026-08-18,824723,Boston Red Sox,1561.0,Arizona Diamondbacks,1527.4,33.6,57.4
2026-08-18,824803,Baltimore Orioles,1522.6,New York Yankees,1541.1,-18.5,47.2
