as_of_date,team,home_adv
2026-07-10,Los Angeles Dodgers,43.9
2026-07-10,Houston Astros,36.7
2026-07-10,Tampa Bay Rays,34.9
2026-07-10,San Francisco Giants,34.6
2026-07-10,Chicago White Sox,33.5
2026-07-10,New York Yankees,31.8
2026-07-10,Colorado Rockies,29.8
2026-07-10,Philadelphia Phillies,29.7
2026-07-10,Seattle Mariners,27.7
2026-07-10,Minnesota Twins,26.9
2026-07-10,New York Mets,26.5
2026-07-10,Oakland Athletics,25.7
2026-07-10,San Diego Padres,25.7
2026-07-10,Toronto Blue Jays,23.5
2026-07-10,Texas Rangers,22.2
2026-07-10,Miami Marlins,21.5
2026-07-10,St. Louis Cardinals,20.4
2026-07-10,Atlanta Braves,20.0
2026-07-10,Detroit Tigers,19.8
2026-07-10,Boston Red Sox,18.5
2026-07-10,Cincinnati Reds,18.0
2026-07-10,Milwaukee Brewers,17.9
2026-07-10,Kansas City Royals,17.7
2026-07-10,Pittsburgh Pirates,17.5
2026-07-10,Cleveland Indians,16.6
2026-07-10,Chicago Cubs,16.2
2026-07-10,Arizona Diamondbacks,15.7
2026-07-10,Los Angeles Angels,15.7
2026-07-10,Washington Nationals,5.3
2026-07-10,Baltimore Orioles,-1.2
