as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-08-22,822858,Texas Rangers,1490.4,Los Angeles Angels,1457.4,33.0,57.9
2026-08-22,823100,Seattle Mariners,1491.6,Chicago Cubs,1555.2,-63.6,44.9
2026-08-22,823261,San Diego Padres,1531.4,Minnesota Twins,1484.3,47.1,60.3
2026-08-22,823422,Philadelphia Phillies,1532.2,St. Louis Cardinals,1514.1,18.1,56.8
2026-08-22,823509,New York Yankees,1548.3,Toronto Blue Jays,1517.7,30.6,58.9
2026-08-22,823743,Milwaukee Brewers,1570.3,Atlanta Braves,1537.3,33.0,57.3
2026-08-22,823831,Miami Marlins,1512.4,Washington Nationals,1493.1,19.3,55.8
2026-08-22,823910,Los Angeles Dodgers,1544.8,Pittsburgh Pirates,1514.6,30.2,60.5
2026-08-22,824073,Kansas City Royals,1465.2,Detroit Tigers,1521.4,-56.2,44.5
2026-08-22,824151,Houston Astros,1507.6,Athletics,1418.2,89.4,67.4
2026-08-22,824316,Colorado Rockies,1441.9,Cleveland Guardians,1505.2,-63.3,45.2
2026-08-22,824560,Chicago White Sox,1517.7,New York Mets,1503.7,14.0,56.8
2026-08-22,824718,Boston Red Sox,1560.4,San Francisco Giants,1460.7,99.7,66.4
2026-08-22,824798,Baltimore Orioles,1522.5,Tampa Bay Rays,1528.5,-6.0,49.0
2026-08-22,825044,Arizona Diamondbacks,1524.4,Cincinnati Reds,1485.5,38.9,57.8
