as_of_date,rank,team,pitcher,rating,opponent
2026-07-23,1,Atlanta Braves,Chris Sale,1610.4,San Diego Padres
2026-07-23,2,Toronto Blue Jays,Shane Bieber,1567.0,Tampa Bay Rays
2026-07-23,3,Cleveland Guardians,Gavin Williams,1536.5,Minnesota Twins
2026-07-23,4,Detroit Tigers,Troy Melton,1524.4,Kansas City Royals
2026-07-23,5,St. Louis Cardinals,Michael McGreevy,1512.7,Arizona Diamondbacks
2026-07-23,6,Kansas City Royals,Randy Dobnak,1504.1,Detroit Tigers
2026-07-23,7,Tampa Bay Rays,Casey Legumina,1503.1,Toronto Blue Jays
2026-07-23,8,San Diego Padres,Kyle Hart,1486.8,Atlanta Braves
2026-07-23,9,Arizona Diamondbacks,Brandon Pfaadt,1486.0,St. Louis Cardinals
2026-07-23,10,Minnesota Twins,Taj Bradley,1484.4,Cleveland Guardians
