as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-09-21,823169,San Francisco Giants,1465.5,Minnesota Twins,1469.9,-4.4,54.3
2026-09-21,824221,Detroit Tigers,1507.0,Washington Nationals,1491.9,15.1,55.0
2026-09-21,824787,Baltimore Orioles,1522.4,Toronto Blue Jays,1516.3,6.1,50.7
