as_of_date,rank,team,pitcher,rating,opponent
2026-07-25,1,Boston Red Sox,Sonny Gray,1571.2,Toronto Blue Jays
2026-07-25,2,Cleveland Guardians,Tanner Bibee,1570.0,Tampa Bay Rays
2026-07-25,3,Los Angeles Dodgers,Yoshinobu Yamamoto,1567.7,New York Mets
2026-07-25,4,Pittsburgh Pirates,Paul Skenes,1562.8,Chicago Cubs
2026-07-25,5,Texas Rangers,Nathan Eovaldi,1562.2,Seattle Mariners
2026-07-25,6,Toronto Blue Jays,Dylan Cease,1559.2,Boston Red Sox
2026-07-25,7,Chicago Cubs,Shota Imanaga,1557.5,Pittsburgh Pirates
2026-07-25,8,Tampa Bay Rays,Nick Martinez,1557.4,Cleveland Guardians
2026-07-25,9,San Francisco Giants,Robbie Ray,1554.3,Los Angeles Angels
2026-07-25,10,Kansas City Royals,Michael Wacha,1549.5,Detroit Tigers
2026-07-25,11,Seattle Mariners,Bryan Woo,1542.4,Texas Rangers
2026-07-25,12,Cincinnati Reds,Hunter Greene,1535.3,St. Louis Cardinals
2026-07-25,13,Houston Astros,Hunter Brown,1535.1,Chicago White Sox
2026-07-25,14,San Diego Padres,Randy Vásquez,1525.8,Miami Marlins
2026-07-25,15,St. Louis Cardinals,Andre Pallante,1522.3,Cincinnati Reds
2026-07-25,16,Detroit Tigers,Casey Mize,1520.9,Kansas City Royals
2026-07-25,17,New York Mets,Nolan McLean,1520.3,Los Angeles Dodgers
2026-07-25,18,Atlanta Braves,Bryce Elder,1516.8,Baltimore Orioles
2026-07-25,19,Washington Nationals,Foster Griffin,1512.9,Arizona Diamondbacks
2026-07-25,20,Chicago White Sox,Sean Burke,1510.2,Houston Astros
2026-07-25,21,Arizona Diamondbacks,Mitch Bratt,1506.0,Washington Nationals
2026-07-25,22,Miami Marlins,Eury Pérez,1504.7,San Diego Padres
2026-07-25,23,Baltimore Orioles,Brandon Young,1504.5,Atlanta Braves
2026-07-25,24,Athletics,Brady Basso,1503.4,Minnesota Twins
2026-07-25,25,Minnesota Twins,Mike Paredes,1502.9,Athletics
2026-07-25,26,Philadelphia Phillies,Tim Mayza,1502.1,New York Yankees
2026-07-25,27,Los Angeles Angels,Ryan Johnson,1501.6,San Francisco Giants
2026-07-25,28,Milwaukee Brewers,Robert Gasser,1500.3,Colorado Rockies
2026-07-25,29,New York Yankees,Ryan Weathers,1493.1,Philadelphia Phillies
2026-07-25,30,Colorado Rockies,Ryan Feltner,1448.0,Milwaukee Brewers
