as_of_date,rank,team,pitcher,rating,opponent
2026-08-14,1,New York Yankees,Gerrit Cole,1602.2,Toronto Blue Jays
2026-08-14,2,Los Angeles Dodgers,Yoshinobu Yamamoto,1571.3,Milwaukee Brewers
2026-08-14,3,Toronto Blue Jays,Shane Bieber,1568.9,New York Yankees
2026-08-14,4,Seattle Mariners,George Kirby,1564.8,Houston Astros
2026-08-14,5,Miami Marlins,Sandy Alcantara,1555.6,Cincinnati Reds
2026-08-14,6,Cleveland Guardians,Gavin Williams,1539.4,San Diego Padres
2026-08-14,7,San Diego Padres,Michael King,1536.7,Cleveland Guardians
2026-08-14,8,Chicago Cubs,Clay Holmes,1524.2,St. Louis Cardinals
2026-08-14,9,Cincinnati Reds,Chase Burns,1519.2,Miami Marlins
2026-08-14,10,Boston Red Sox,Jake Bennett,1511.6,Pittsburgh Pirates
2026-08-14,11,San Francisco Giants,Landen Roupp,1509.6,Colorado Rockies
2026-08-14,12,Detroit Tigers,Jackson Jobe,1509.4,Chicago White Sox
2026-08-14,13,Houston Astros,Peter Lambert,1507.3,Seattle Mariners
2026-08-14,14,Kansas City Royals,Seth Lugo,1507.1,Los Angeles Angels
2026-08-14,15,Pittsburgh Pirates,Bubba Chandler,1504.9,Boston Red Sox
2026-08-14,16,Washington Nationals,Andrew Alvarez,1502.5,New York Mets
2026-08-14,17,Milwaukee Brewers,Robert Gasser,1498.8,Los Angeles Dodgers
2026-08-14,18,New York Mets,Robert Stock,1498.4,Washington Nationals
2026-08-14,19,Arizona Diamondbacks,Brandon Pfaadt,1489.5,Atlanta Braves
2026-08-14,20,Chicago White Sox,Sean Newcomb,1484.5,Detroit Tigers
2026-08-14,21,Texas Rangers,Kumar Rocker,1479.7,Athletics
2026-08-14,22,Los Angeles Angels,Grayson Rodriguez,1478.6,Kansas City Royals
2026-08-14,23,St. Louis Cardinals,Matthew Liberatore,1474.7,Chicago Cubs
2026-08-14,24,Tampa Bay Rays,Steven Matz,1470.8,Baltimore Orioles
2026-08-14,25,Colorado Rockies,Kyle Freeland,1409.7,San Francisco Giants
