as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-08-15,822775,Toronto Blue Jays,1500.1,New York Yankees,1538.9,-38.8,47.8
2026-08-15,822941,Tampa Bay Rays,1547.6,Baltimore Orioles,1515.5,32.1,59.5
2026-08-15,823184,San Francisco Giants,1470.6,Colorado Rockies,1442.1,28.5,59.0
2026-08-15,823347,Pittsburgh Pirates,1504.3,Boston Red Sox,1561.6,-57.3,44.3
2026-08-15,823588,New York Mets,1494.9,Washington Nationals,1498.5,-3.6,53.3
2026-08-15,823671,Minnesota Twins,1484.6,Philadelphia Phillies,1524.8,-40.2,48.1
2026-08-15,823914,Los Angeles Dodgers,1542.0,Milwaukee Brewers,1561.8,-19.8,53.5
2026-08-15,823990,Los Angeles Angels,1445.5,Kansas City Royals,1463.9,-18.4,49.6
2026-08-15,824157,Houston Astros,1508.7,Seattle Mariners,1489.2,19.5,58.0
2026-08-15,824239,Detroit Tigers,1532.8,Chicago White Sox,1514.1,18.7,55.5
2026-08-15,824400,Cleveland Guardians,1501.3,San Diego Padres,1533.8,-32.5,48.2
2026-08-15,824480,Cincinnati Reds,1497.6,Miami Marlins,1511.1,-13.5,50.6
2026-08-15,824644,Chicago Cubs,1563.7,St. Louis Cardinals,1502.2,61.5,61.0
2026-08-15,824884,Atlanta Braves,1552.7,Arizona Diamondbacks,1526.0,26.7,56.7
2026-08-15,824966,Athletics,1432.4,Texas Rangers,1491.0,-58.6,44.5
