as_of_date,rank,team,pitcher,rating,opponent
2026-09-05,1,Philadelphia Phillies,Zack Wheeler,1630.5,Atlanta Braves
2026-09-05,2,Texas Rangers,Jacob deGrom,1580.7,Tampa Bay Rays
2026-09-05,3,Los Angeles Dodgers,Tyler Glasnow,1577.9,Washington Nationals
2026-09-05,4,Boston Red Sox,Sonny Gray,1575.1,Baltimore Orioles
2026-09-05,5,New York Yankees,Carlos Rodón,1567.0,San Diego Padres
2026-09-05,6,Detroit Tigers,Framber Valdez,1566.3,Cleveland Guardians
2026-09-05,7,Tampa Bay Rays,Drew Rasmussen,1564.7,Texas Rangers
2026-09-05,8,San Diego Padres,Robbie Ray,1561.2,New York Yankees
2026-09-05,9,Seattle Mariners,George Kirby,1560.2,Athletics
2026-09-05,10,Cincinnati Reds,Andrew Abbott,1542.9,Milwaukee Brewers
2026-09-05,11,Toronto Blue Jays,Max Scherzer,1539.4,Kansas City Royals
2026-09-05,12,Cleveland Guardians,Parker Messick,1537.4,Detroit Tigers
2026-09-05,13,Chicago Cubs,Javier Assad,1529.3,Miami Marlins
2026-09-05,14,Pittsburgh Pirates,Braxton Ashcraft,1524.5,Los Angeles Angels
2026-09-05,15,Atlanta Braves,Martín Pérez,1519.6,Philadelphia Phillies
2026-09-05,16,Baltimore Orioles,Chris Bassitt,1518.8,Boston Red Sox
2026-09-05,17,Chicago White Sox,Anthony Kay,1517.6,Minnesota Twins
2026-09-05,18,Milwaukee Brewers,Dustin May,1510.7,Cincinnati Reds
2026-09-05,19,New York Mets,Zac Thornton,1509.6,San Francisco Giants
2026-09-05,20,Colorado Rockies,Mason Adams,1505.3,St. Louis Cardinals
2026-09-05,21,Houston Astros,Ethan Pecko,1501.0,Arizona Diamondbacks
2026-09-05,22,Arizona Diamondbacks,Brandon Pfaadt,1499.3,Houston Astros
2026-09-05,23,San Francisco Giants,Anthony Molina,1497.8,New York Mets
2026-09-05,24,Kansas City Royals,Seth Lugo,1495.8,Toronto Blue Jays
2026-09-05,25,Washington Nationals,Cade Cavalli,1492.3,Los Angeles Dodgers
2026-09-05,26,Miami Marlins,Ryan Gusto,1486.4,Chicago Cubs
2026-09-05,27,Minnesota Twins,Taj Bradley,1484.6,Chicago White Sox
2026-09-05,28,St. Louis Cardinals,Matthew Liberatore,1468.6,Colorado Rockies
2026-09-05,29,Los Angeles Angels,Yusei Kikuchi,1468.5,Pittsburgh Pirates
2026-09-05,30,Athletics,Jeffrey Springs,1466.3,Seattle Mariners
